Name                  Context_switches    System_Calls Total_Execution_Time   Shared_Mem    Non_Shared_Mem
bitcount_small.sh     6                   13            41011                 0             0
CRC32_large.sh        6                   13            18976                 0             0
basicmath_small.sh    6                   13            14072                 0             0
qsort_large.sh        6                   13            13387                 0             0
fft_small.sh          6                   13            18759                 0             0
bitcount_small.sh     6                   13            24177                 0             0
CRC32_large.sh        6                   13            12329                 0             0
basicmath_small.sh    6                   13            12039                 0             0
qsort_large.sh        6                   13            13264                 0             0
fft_small.sh          6                   13            13188                 0             0
CRC32_large.sh        6                   13            12207                 0             0
qsort_large.sh        6                   13            12555                 0             0
bitcount_small.sh     6                   13            25341                 0             0
basicmath_small.sh    6                   13            12112                 0             0
fft_small.sh          6                   13            12929                 0             0
