# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-08-02 14:08:39 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;80,00;3,00;5,00;10391908;15576888;5905484;36,24;337392;4930796;1769000;9,62;1502888;4087192;240;1800,00;1800,00;1800,00;1800,00;0,00;62,00;61,00;60,00
BrixPyxis;2019-08-02 14:08:40 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;2,00;5,00;10391908;15576888;5905484;36,24;337392;4930820;1769000;9,62;1502888;4087192;264;1800,00;1800,00;1800,00;1800,00;0,00;62,00;62,00;60,00
BrixPyxis;2019-08-02 14:08:41 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;5,00;10391908;15576888;5905484;36,24;337392;4930844;1769000;9,62;1502888;4087192;288;1800,00;1800,00;1800,00;1800,00;0,00;62,00;62,00;60,00
BrixPyxis;2019-08-02 14:08:42 UTC;0,99;0,00;0,00;99,01;8,91;1,98;0,00;89,11;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;606,00;19606,00;10389552;15574924;5907840;36,25;337392;4931452;1774320;9,65;1503476;4087584;896;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:08:43 UTC;0,00;0,00;0,00;100,00;93,00;7,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;92,00;1267,00;23154,00;10377524;15574944;5919868;36,32;337400;4943288;1774320;9,65;1503868;4099504;12512;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:08:44 UTC;0,00;0,99;0,00;99,01;92,00;8,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;35444,00;1795,00;44098,00;10381492;15575296;5915900;36,30;337400;4939376;1773976;9,64;1503872;4095692;1908;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:08:45 UTC;0,00;0,00;0,00;100,00;93,94;6,06;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;19356,00;977,00;24992,00;10373928;15575988;5923464;36,35;337400;4947704;1772256;9,63;1503088;4104176;15656;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:08:46 UTC;0,00;0,00;0,00;100,00;91,00;9,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;35440,00;1839,00;45774,00;10384344;15576408;5913048;36,28;337400;4937760;1772256;9,63;1503088;4094180;5460;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:08:47 UTC;0,00;0,00;0,00;100,00;92,00;8,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;33804,00;1457,00;38232,00;10361900;15563568;5935492;36,42;337400;4947292;1782852;9,69;1503284;4103588;520;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:08:48 UTC;0,00;0,00;1,00;99,00;91,09;8,91;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;19424,00;1315,00;30434,00;10367944;15564712;5929448;36,38;337408;4942520;1780400;9,68;1503088;4098884;10508;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:08:49 UTC;0,00;0,00;0,00;100,00;92,00;8,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;33804,00;1735,00;38404,00;10372140;15574844;5925252;36,36;337408;4948452;1773288;9,64;1503676;4104624;1772;1800,00;1800,00;1800,00;1800,00;0,00;62,00;62,00;61,00
BrixPyxis;2019-08-02 14:08:50 UTC;0,00;0,00;0,00;100,00;93,00;7,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;19356,00;1035,00;30231,00;10362604;15564328;5934788;36,42;337408;4947180;1780444;9,68;1502892;4103644;15228;1800,00;1800,00;1800,00;1800,00;0,00;62,00;62,00;61,00
BrixPyxis;2019-08-02 14:08:51 UTC;0,00;0,00;0,00;100,00;91,00;9,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;35440,00;1868,00;45755,00;10372504;15564092;5924888;36,35;337408;4937332;1780444;9,68;1502892;4093508;5132;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:08:52 UTC;0,00;0,00;0,00;100,00;91,92;8,08;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;33804,00;1388,00;38134,00;10372544;15574520;5924848;36,35;337408;4947356;1773288;9,64;1503284;4103700;792;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:08:53 UTC;0,00;0,00;5,10;94,90;91,00;9,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;19424,00;1642,00;42437,00;10368212;15563132;5929180;36,38;337416;4940424;1783972;9,70;1503284;4096644;9284;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
