# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-08-02 14:19:29 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;70,00;6,00;10380748;15581936;5916644;36,30;338436;4945352;1717316;9,34;1497876;4101716;456;1800,00;1800,00;1800,00;1800,00;0,00;62,00;62,00;61,00
BrixPyxis;2019-08-02 14:19:30 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,99;0,00;0,00;99,01;0,00;0,00;15,00;13,00;10380748;15581936;5916644;36,30;338436;4945416;1717316;9,34;1497916;4101732;480;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:19:31 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;1,00;0,00;99,00;0,00;0,00;0,00;100,00;0,00;0,00;26,00;20,00;10380748;15581936;5916644;36,30;338436;4945440;1717316;9,34;1497916;4101732;504;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:19:32 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;5,00;10380624;15581860;5916768;36,30;338436;4945408;1717316;9,34;1497916;4101748;528;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;61,00
BrixPyxis;2019-08-02 14:19:33 UTC;0,00;0,00;0,00;100,00;7,92;2,97;0,00;89,11;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;164,00;588,00;20031,00;10378888;15580324;5918504;36,32;338444;4945524;1725240;9,38;1498504;4101748;732;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;61,00
BrixPyxis;2019-08-02 14:19:34 UTC;0,00;0,00;0,00;100,00;93,00;7,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;922,00;23305,00;10363140;15580448;5934252;36,41;338444;4961208;1725240;9,38;1498504;4117456;16216;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:19:35 UTC;0,00;0,00;0,00;100,00;89,00;10,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;35456,00;1840,00;46746,00;10374300;15581460;5923092;36,34;338444;4951012;1724208;9,37;1498308;4107320;6112;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;62,00
BrixPyxis;2019-08-02 14:19:36 UTC;0,00;0,00;0,00;100,00;47,00;4,00;49,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;17720,00;1047,00;28237,00;10363108;15580600;5934284;36,41;338444;4961080;1723520;9,37;1498448;4117456;588;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;62,00
BrixPyxis;2019-08-02 14:19:37 UTC;0,00;0,00;0,00;100,00;0,00;0,00;100,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;801,00;10366060;15580584;5931332;36,39;338444;4958120;1723520;9,37;1498448;4114488;612;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:19:38 UTC;0,00;0,00;0,00;100,00;0,00;0,00;100,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;1027,00;10370300;15580520;5927092;36,37;338444;4953964;1723520;9,37;1498448;4110288;640;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:19:39 UTC;0,00;0,00;0,00;100,00;0,00;0,00;100,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;52,00;0,00;1065,00;10374492;15580588;5922900;36,34;338448;4949980;1723520;9,37;1498452;4106284;664;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;60,00
BrixPyxis;2019-08-02 14:19:40 UTC;0,00;0,00;0,00;100,00;0,00;0,99;99,01;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;975,00;10378360;15580520;5919032;36,32;338448;4946200;1723520;9,37;1498452;4102472;688;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;60,00
BrixPyxis;2019-08-02 14:19:41 UTC;0,00;0,00;0,00;100,00;64,00;6,00;30,00;0,00;0,00;0,00;13,13;86,87;0,00;0,00;0,00;100,00;0,00;17724,00;1236,00;19461,00;10360700;15580100;5936692;36,43;338452;4963248;1723520;9,37;1498644;4119360;1308;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
