# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-08-02 14:18:22 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;3,00;5,00;10383204;15582564;5914188;36,29;338316;4943640;1728280;9,40;1497708;4099984;356;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:18:23 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;1,00;5,00;10383204;15582564;5914188;36,29;338316;4943664;1728280;9,40;1497708;4099984;380;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:18:24 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;80,00;0,00;6,00;10383080;15582484;5914312;36,29;338324;4943688;1728280;9,40;1497720;4100028;472;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:18:25 UTC;0,00;0,99;0,00;99,01;7,14;2,04;0,00;90,82;0,00;0,00;0,00;100,00;1,00;0,00;0,00;99,00;0,00;0,00;1164,00;20232,00;10381012;15580612;5916380;36,30;338324;4944004;1731724;9,41;1498308;4100224;788;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:18:26 UTC;0,00;1,00;0,00;99,00;86,14;11,88;0,00;1,98;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;2628,00;4985,00;75707,00;10381032;15580844;5916360;36,30;338324;4944176;1731724;9,41;1498404;4100480;524;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:18:27 UTC;0,00;0,99;0,00;99,01;83,84;14,14;0,00;2,02;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3484,00;5512,00;93709,00;10380476;15580288;5916916;36,31;338324;4944200;1731724;9,41;1498600;4100480;548;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:18:28 UTC;0,00;0,00;0,00;100,00;87,13;10,89;0,00;1,98;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3392,00;5587,00;76470,00;10380836;15580704;5916556;36,30;338324;4944224;1731724;9,41;1498404;4100536;572;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:18:29 UTC;0,00;0,00;0,00;100,00;84,00;14,00;0,00;2,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3540,00;5540,00;93742,00;10380352;15580216;5917040;36,31;338332;4944248;1731724;9,41;1498600;4100536;600;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:18:30 UTC;0,00;0,00;0,00;100,00;87,00;12,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3392,00;5576,00;76477,00;10380588;15580508;5916804;36,31;338332;4944272;1731724;9,41;1498404;4100592;624;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:18:31 UTC;0,00;0,99;0,00;99,01;84,00;14,00;0,00;2,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3484,00;5193,00;82344,00;10340324;15540636;5957068;36,55;338332;4944692;1771884;9,63;1498012;4100984;652;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
