# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-08-02 14:29:46 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;3,00;5,00;10365304;15582356;5932088;36,40;339416;4959672;1724068;9,37;1498988;4116040;552;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;61,00
BrixPyxis;2019-08-02 14:29:47 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;2,00;5,00;10365304;15582356;5932088;36,40;339416;4959696;1724068;9,37;1498988;4116040;576;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:29:48 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;92,00;0,00;5,00;10365180;15582232;5932212;36,40;339424;4959720;1724068;9,37;1498988;4116040;624;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:29:49 UTC;0,00;0,00;0,00;100,00;8,08;2,02;0,00;89,90;0,00;1,00;0,00;99,00;0,00;0,00;0,00;100,00;0,00;0,00;1005,00;20057,00;10363060;15580700;5934332;36,41;339424;4960304;1728808;9,40;1499576;4116628;1208;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:29:50 UTC;0,00;1,00;0,00;99,00;87,00;11,00;0,00;2,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;2516,00;5001,00;75694,00;10362884;15580580;5934508;36,41;339424;4960500;1728808;9,40;1499580;4116724;1260;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:29:51 UTC;0,00;0,00;0,00;100,00;84,16;13,86;0,00;1,98;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3708,00;5720,00;94080,00;10363144;15580700;5934248;36,41;339424;4960232;1728808;9,40;1499776;4116584;700;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:29:52 UTC;0,00;0,00;0,00;100,00;87,00;11,00;0,00;2,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3168,00;5372,00;76134,00;10362964;15580716;5934428;36,41;339424;4960548;1728808;9,40;1499580;4116780;1308;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:29:53 UTC;0,00;0,00;0,00;100,00;84,85;14,14;0,00;1,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3648,00;5722,00;93944,00;10363152;15580708;5934240;36,41;339432;4960248;1728808;9,40;1499776;4116584;724;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:29:54 UTC;0,00;0,00;0,00;100,00;88,00;10,00;0,00;2,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3280,00;5428,00;76272,00;10362716;15580524;5934676;36,41;339432;4960596;1728808;9,40;1499580;4116836;1356;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:29:55 UTC;0,00;0,00;0,00;100,00;84,00;14,00;0,00;2,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3596,00;5472,00;88064,00;10340288;15557900;5957104;36,55;339432;4960332;1748888;9,51;1499384;4116640;800;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:29:56 UTC;0,00;1,00;0,00;99,00;86,87;12,12;0,00;1,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3280,00;5650,00;82148,00;10362592;15580460;5934800;36,42;339432;4960648;1728808;9,40;1499580;4116892;1408;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:29:57 UTC;0,00;0,00;0,00;100,00;86,14;11,88;0,00;1,98;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3056,00;5213,00;75775,00;10362912;15580976;5934480;36,41;339432;4960648;1728808;9,40;1500168;4117088;1408;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:29:58 UTC;0,00;0,00;0,00;100,00;83,00;15,00;0,00;2,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;4108,00;5884,00;94254,00;10362128;15580064;5935264;36,42;339440;4960692;1728808;9,40;1500416;4116952;1164;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:29:59 UTC;0,00;0,00;0,00;100,00;87,13;10,89;0,00;1,98;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3168,00;5002,00;75845,00;10362504;15580448;5934888;36,42;339440;4960720;1728808;9,40;1499640;4116972;1088;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:30:00 UTC;0,00;0,00;0,00;100,00;84,00;14,00;0,00;2,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3596,00;5707,00;93944,00;10362568;15580316;5934824;36,42;339440;4960452;1728808;9,40;1499836;4116776;528;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:30:01 UTC;0,00;0,00;0,00;100,00;86,87;12,12;0,00;1,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3280,00;5415,00;78182,00;10369560;15587508;5927832;36,37;339440;4953296;1728808;9,40;1499640;4109524;1112;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
