# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-08-02 14:36:36 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;1,00;0,00;99,00;0,00;0,00;65,00;6,00;10357216;15583024;5940176;36,45;340088;4967488;1721792;9,36;1499672;4123820;416;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:36:37 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,99;0,00;0,00;99,01;0,00;404,00;17,00;14,00;10357208;15583016;5940184;36,45;340096;4967512;1721792;9,36;1499672;4123852;212;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:36:38 UTC;0,99;0,00;0,00;99,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;21,00;5,00;10356960;15582776;5940432;36,45;340096;4967576;1721792;9,36;1499680;4123892;236;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:36:39 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;5,00;10356836;15582652;5940556;36,45;340096;4967600;1721792;9,36;1499680;4123892;260;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:36:40 UTC;0,00;0,00;0,00;100,00;10,10;0,00;0,00;89,90;0,00;1,00;0,00;99,00;0,00;0,00;0,00;100,00;0,00;0,00;120,00;4814,00;10356280;15582148;5941112;36,45;340096;4967628;1721792;9,36;1499680;4123928;288;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:36:41 UTC;0,00;0,00;0,00;100,00;94,06;5,94;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;20,00;969,00;21037,00;10354968;15580836;5942424;36,46;340096;4967652;1719932;9,35;1500856;4123928;312;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:36:42 UTC;0,00;0,00;0,00;100,00;95,00;5,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;68,00;733,00;15072,00;10354048;15579916;5943344;36,47;340104;4967676;1721104;9,36;1501640;4123928;340;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:36:43 UTC;0,00;0,00;0,00;100,00;93,94;6,06;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;24,00;777,00;21665,00;10354544;15581824;5942848;36,47;340104;4969160;1728732;9,40;1499880;4125352;1824;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:36:44 UTC;0,00;0,00;0,00;100,00;95,00;5,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;20,00;815,00;18404,00;10355092;15581000;5942300;36,46;340104;4967812;1730660;9,41;1500664;4123980;388;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:36:45 UTC;0,00;0,00;0,00;100,00;92,08;7,92;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;24,00;879,00;18081,00;10354048;15580012;5943344;36,47;340104;4967840;1731832;9,41;1501648;4124032;416;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;61,00
BrixPyxis;2019-08-02 14:36:46 UTC;0,00;0,00;0,00;100,00;95,00;5,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;20,00;663,00;15361,00;10352984;15580320;5944408;36,47;340104;4969032;1730660;9,41;1501060;4125404;1900;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;61,00
BrixPyxis;2019-08-02 14:36:47 UTC;0,00;0,00;0,00;100,00;92,93;7,07;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;1612,00;1030,00;21814,00;10354544;15580564;5942848;36,47;340112;4967976;1720972;9,36;1500864;4124088;464;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
