# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-08-02 14:24:04 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;63,00;6,00;10374320;15582452;5923072;36,34;338868;4951636;1716400;9,33;1498312;4107972;440;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:24:05 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;18,00;13,00;10374196;15582352;5923196;36,34;338868;4951724;1716400;9,33;1498312;4108028;488;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:24:06 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;20,00;5,00;10374196;15582352;5923196;36,34;338868;4951724;1716400;9,33;1498312;4108028;488;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:24:07 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;8,00;10374072;15582284;5923320;36,35;338868;4951772;1716400;9,33;1498324;4108084;536;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:24:08 UTC;0,00;1,00;0,00;99,00;7,00;3,00;0,00;90,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;112,00;1119,00;17212,00;10371188;15580788;5926204;36,36;338876;4953252;1726396;9,39;1498912;4109316;2036;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:24:09 UTC;0,00;0,00;0,00;100,00;94,95;5,05;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;2912,00;2621,00;33291,00;10370228;15580876;5927164;36,37;338876;4954304;1726396;9,39;1498920;4110452;2944;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:24:10 UTC;0,00;0,00;0,00;100,00;88,12;9,90;0,00;1,98;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;3764,00;49658,00;10370228;15580888;5927164;36,37;338876;4954356;1726396;9,39;1498968;4110460;3004;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:24:11 UTC;0,00;0,00;0,00;100,00;91,92;8,08;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;3643,00;49461,00;10371188;15581064;5926204;36,36;338876;4953504;1726396;9,39;1498968;4109676;2152;1800,00;1800,00;1800,00;1800,00;0,00;62,00;62,00;62,00
BrixPyxis;2019-08-02 14:24:12 UTC;0,00;0,00;0,00;100,00;90,10;8,91;0,00;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;5824,00;2640,00;33289,00;10370228;15580888;5927164;36,37;338876;4954380;1726396;9,39;1498968;4110460;3028;1800,00;1800,00;1800,00;1800,00;0,00;62,00;62,00;62,00
BrixPyxis;2019-08-02 14:24:13 UTC;0,00;0,00;0,00;100,00;91,00;8,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8796,00;3768,00;49657,00;10370228;15580976;5927164;36,37;338884;4954432;1726396;9,39;1498972;4110568;3104;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
