# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-08-02 14:16:05 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;3,00;5,00;10387404;15582932;5909988;36,26;338108;4940344;1716076;9,33;1497516;4096656;272;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:16:06 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;1,00;5,00;10387404;15582976;5909988;36,26;338108;4940368;1716076;9,33;1497528;4096700;296;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;60,00
BrixPyxis;2019-08-02 14:16:07 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;5,00;10387404;15582976;5909988;36,26;338108;4940392;1716076;9,33;1497528;4096700;320;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;60,00
BrixPyxis;2019-08-02 14:16:08 UTC;0,00;0,00;0,00;100,00;9,00;2,00;0,00;89,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;279,00;10119,00;10389232;15588724;5908160;36,25;338108;4937352;1717804;9,34;1497724;4093760;4140;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:16:09 UTC;0,00;0,00;0,00;100,00;68,00;6,00;25,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16180,00;667,00;24807,00;10380460;15588580;5916932;36,31;338108;4946620;1717116;9,33;1497832;4102956;372;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:16:10 UTC;0,00;0,00;65,00;35,00;26,73;1,98;71,29;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;80,00;103,00;3188,00;10381204;15588736;5916188;36,30;338116;4946300;1717116;9,33;1497832;4102556;12100;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;61,00
BrixPyxis;2019-08-02 14:16:11 UTC;0,00;0,00;0,00;100,00;12,00;4,00;84,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16268,00;344,00;14884,00;10390628;15588212;5906764;36,24;338116;4936428;1717116;9,33;1497836;4092728;444;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;61,00
BrixPyxis;2019-08-02 14:16:12 UTC;0,00;0,00;0,00;100,00;37,37;3,03;58,59;1,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16176,00;327,00;10987,00;10384304;15588332;5913088;36,28;338116;4942596;1717116;9,33;1497836;4098944;468;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;60,00
BrixPyxis;2019-08-02 14:16:13 UTC;0,00;0,00;0,00;100,00;62,00;4,00;34,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16176,00;383,00;14668,00;10382444;15588492;5914948;36,29;338116;4944888;1717116;9,33;1497844;4101224;10712;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;60,00
BrixPyxis;2019-08-02 14:16:14 UTC;0,00;0,00;0,00;100,00;88,12;6,93;3,96;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;32352,00;658,00;25168,00;10377484;15588436;5919908;36,32;338116;4949880;1717116;9,33;1497844;4105936;15704;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;61,00
