# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-08-02 14:40:01 UTC;0,00;0,00;0,00;100,00;0,00;0,00;2,00;98,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;3,00;5,00;10351664;15582488;5945728;36,48;340424;4972660;1711568;9,30;1499952;4128956;292;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;61,00
BrixPyxis;2019-08-02 14:40:02 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;32,00;1,00;5,00;10351788;15582636;5945604;36,48;340424;4972684;1711568;9,30;1500036;4128980;244;1800,00;1800,00;1800,00;1800,00;0,00;62,00;62,00;60,00
BrixPyxis;2019-08-02 14:40:03 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;5,00;10351788;15582652;5945604;36,48;340424;4972708;1711568;9,30;1500036;4129036;268;1800,00;1800,00;1800,00;1800,00;0,00;62,00;62,00;60,00
BrixPyxis;2019-08-02 14:40:04 UTC;0,00;0,99;0,00;99,01;8,00;2,00;0,00;90,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;112,00;4613,00;10354576;15589556;5942816;36,46;340424;4969568;1711920;9,31;1500036;4125900;4380;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:40:05 UTC;0,00;0,00;0,00;100,00;68,32;5,94;25,74;0,00;0,00;0,00;0,00;100,00;1,00;0,00;0,00;99,00;0,00;16176,00;743,00;26695,00;10342488;15588864;5954904;36,54;340424;4981620;1712608;9,31;1500308;4137912;320;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:40:06 UTC;0,00;0,00;0,00;100,00;0,00;0,00;100,00;0,00;0,00;0,00;89,00;11,00;0,00;0,00;0,00;100,00;0,00;76,00;0,00;775,00;10345588;15588912;5951804;36,52;340428;4978572;1712608;9,31;1500308;4134856;344;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;60,00
BrixPyxis;2019-08-02 14:40:07 UTC;0,00;0,00;0,00;100,00;23,00;1,00;76,00;0,00;0,00;0,00;76,00;24,00;0,00;0,00;0,00;100,00;0,00;4,00;49,00;3115,00;10348068;15589088;5949324;36,50;340432;4976736;1712608;9,31;1500308;4132788;10640;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;60,00
BrixPyxis;2019-08-02 14:40:08 UTC;0,00;0,00;0,00;100,00;89,00;7,00;4,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;32352,00;652,00;25079,00;10342612;15589220;5954780;36,54;340432;4981952;1712608;9,31;1500312;4138172;15628;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;61,00
BrixPyxis;2019-08-02 14:40:09 UTC;0,00;0,00;0,00;100,00;87,13;9,90;2,97;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;48528,00;984,00;37662,00;10354020;15589064;5943372;36,47;340432;4970588;1712608;9,31;1500320;4126804;4264;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;61,00
BrixPyxis;2019-08-02 14:40:10 UTC;0,00;1,00;0,00;99,00;90,91;6,06;3,03;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;32352,00;654,00;25104,00;10348440;15588788;5948952;36,50;340432;4976164;1712608;9,31;1500312;4132112;9840;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:40:11 UTC;0,00;0,00;0,00;100,00;90,10;7,92;1,98;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;32396,00;666,00;25106,00;10342240;15588848;5955152;36,54;340440;4982028;1712608;9,31;1500316;4138172;15716;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:40:12 UTC;0,00;0,00;0,00;100,00;88,00;9,00;3,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;48528,00;980,00;37654,00;10353896;15588992;5943496;36,47;340440;4970664;1712608;9,31;1500316;4126860;4644;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:40:13 UTC;0,00;0,00;0,00;100,00;68,69;6,06;25,25;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;32352,00;606,00;21246,00;10342116;15588656;5955276;36,54;340440;4981816;1712608;9,31;1500316;4138068;580;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:40:14 UTC;0,00;0,00;0,00;100,00;0,00;0,00;100,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;775,00;10345092;15588576;5952300;36,52;340440;4978768;1712608;9,31;1500316;4135012;604;1800,00;1800,00;1800,00;1800,00;0,00;62,00;62,00;60,00
BrixPyxis;2019-08-02 14:40:15 UTC;0,00;0,00;0,00;100,00;0,00;0,00;100,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;1052,00;10349308;15588660;5948084;36,50;340440;4974696;1712608;9,31;1500316;4130980;628;1800,00;1800,00;1800,00;1800,00;0,00;62,00;62,00;60,00
BrixPyxis;2019-08-02 14:40:16 UTC;0,00;0,00;0,00;100,00;0,00;0,00;100,00;0,00;0,00;0,00;88,89;11,11;0,00;0,00;0,00;100,00;0,00;36,00;0,00;1058,00;10353460;15588780;5943932;36,47;340444;4970672;1712608;9,31;1500316;4126948;656;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:40:17 UTC;0,00;0,00;0,00;100,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;775,00;10356500;15588612;5940892;36,45;340444;4967580;1712608;9,31;1500316;4123864;680;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:40:18 UTC;0,00;0,00;14,00;86,00;38,61;2,97;58,42;0,00;0,00;0,00;9,00;91,00;0,00;0,00;0,00;100,00;0,00;16180,00;332,00;9160,00;10342972;15588724;5954420;36,54;340448;4980960;1712608;9,31;1500316;4137272;704;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:40:19 UTC;0,00;0,00;0,00;100,00;0,00;0,00;100,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;798,00;10346084;15588660;5951308;36,52;340448;4977868;1712608;9,31;1500316;4134188;728;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:40:20 UTC;0,00;0,00;0,00;100,00;29,59;1,02;69,39;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;92,00;162,00;5656,00;10344844;15589052;5952548;36,52;340448;4979536;1712608;9,31;1500228;4135836;13308;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
