# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-08-02 14:26:20 UTC;0,00;1,00;0,00;99,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,99;0,00;0,00;99,01;0,00;0,00;52,00;13,00;10370476;15582128;5926916;36,37;339092;4955604;1728044;9,39;1498600;4111936;440;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:26:21 UTC;0,99;0,00;0,00;99,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;28,00;1830,00;10370600;15582252;5926792;36,37;339092;4955684;1728044;9,39;1498600;4112032;484;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:26:22 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;33,00;206,00;10370724;15582376;5926668;36,37;339092;4954964;1728044;9,39;1498600;4111264;484;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:26:23 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;9,00;10370724;15582416;5926668;36,37;339092;4955012;1728044;9,39;1498600;4111304;532;1800,00;1800,00;1800,00;1800,00;0,00;62,00;62,00;60,00
BrixPyxis;2019-08-02 14:26:24 UTC;0,00;0,00;3,03;96,97;9,09;1,01;0,00;89,90;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;108,00;305,00;10373,00;10366632;15582048;5930760;36,39;339100;4958604;1729492;9,40;1498796;4114832;4328;1800,00;1800,00;1800,00;1800,00;0,00;62,00;62,00;60,00
BrixPyxis;2019-08-02 14:26:25 UTC;0,00;0,00;0,00;100,00;68,00;7,00;24,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16180,00;674,00;25222,00;10358076;15582260;5939316;36,44;339100;4967088;1729148;9,40;1498868;4123384;612;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:26:26 UTC;0,00;0,00;0,00;100,00;27,45;0,98;71,57;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;48,00;3107,00;10359192;15582784;5938200;36,44;339100;4966624;1729148;9,40;1498868;4122908;12292;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:26:27 UTC;0,00;0,00;0,00;100,00;12,00;2,00;85,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16176,00;279,00;10193,00;10360184;15582312;5937208;36,43;339100;4965088;1729148;9,40;1498872;4121424;660;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:26:28 UTC;0,00;0,00;0,00;100,00;38,38;3,03;58,59;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16176,00;331,00;13307,00;10362140;15582308;5935252;36,42;339100;4963116;1729148;9,40;1498872;4119464;660;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:26:29 UTC;0,00;0,00;0,00;100,00;37,76;3,06;59,18;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16176,00;327,00;11226,00;10355968;15582276;5941424;36,46;339100;4969236;1729148;9,40;1498872;4125536;724;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
