# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-07-31 16:09:49 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;3,00;5,00;15154372;15759580;1143020;7,01;74244;712460;1455308;7,91;477168;491024;348;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:09:50 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;3,00;7,00;15154112;15759188;1143280;7,02;74244;712412;1455308;7,91;477500;490732;432;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:09:51 UTC;0,00;0,00;2,04;97,96;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;104,00;0,00;8,00;15154112;15759232;1143280;7,02;74252;712436;1455308;7,91;477500;490776;492;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:09:52 UTC;0,00;0,99;0,00;99,01;7,00;3,00;0,00;90,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;692,00;21686,00;15151880;15757396;1145512;7,03;74252;712752;1459440;7,93;478324;491168;808;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:09:53 UTC;0,00;0,00;0,00;100,00;93,00;7,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;1019,00;23694,00;15137620;15757356;1159772;7,12;74252;726968;1459096;7,93;478152;505292;15152;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:09:54 UTC;0,00;0,00;0,00;100,00;29,59;5,10;65,31;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;18348,00;1400,00;34957,00;15147308;15757656;1150084;7,06;74252;717512;1457376;7,92;478340;495876;552;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:09:55 UTC;0,00;0,00;0,00;100,00;64,29;4,08;31,63;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;18644,00;1203,00;25225,00;15139988;15757576;1157404;7,10;74252;724728;1457376;7,92;478340;503076;600;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:09:56 UTC;0,00;0,00;63,00;37,00;28,28;3,03;68,69;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;380,00;163,00;3209,00;15142468;15757608;1154924;7,09;74260;722596;1457376;7,92;478340;500724;9944;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:09:57 UTC;0,00;0,00;0,00;100,00;93,00;7,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;20012,00;1495,00;27357,00;15134432;15758172;1162960;7,14;74260;730872;1458408;7,93;478172;509216;14932;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:09:58 UTC;0,00;0,00;0,00;100,00;90,00;10,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;34084,00;1856,00;50020,00;15145376;15757904;1152016;7,07;74260;719780;1458408;7,93;478172;498100;7392;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
