# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-07-31 15:53:38 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;3,00;5,00;15190216;15760864;1107176;6,79;72412;680240;1449928;7,88;440900;493248;456;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:53:39 UTC;0,00;0,00;4,04;95,96;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;104,00;1,00;6,00;15190216;15760864;1107176;6,79;72420;680264;1449928;7,88;440900;493248;572;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;59,00
BrixPyxis;2019-07-31 15:53:40 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;5,00;15190216;15760864;1107176;6,79;72420;680288;1449928;7,88;440900;493248;596;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;59,00
BrixPyxis;2019-07-31 15:53:41 UTC;0,00;0,00;0,00;100,00;7,00;3,00;0,00;90,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;1258,00;14871,00;15185132;15756392;1112260;6,82;72420;681188;1453356;7,90;444428;493860;1496;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:53:42 UTC;0,00;0,00;0,00;100,00;77,78;12,12;9,09;1,01;1,01;0,00;0,00;98,99;0,00;0,00;0,00;100,00;0,00;8892,00;10270,00;78399,00;15183024;15755640;1114368;6,84;72420;682360;1451980;7,89;445820;495216;1524;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:53:43 UTC;0,00;0,00;0,00;100,00;67,00;14,00;17,00;2,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12256,00;8866,00;75826,00;15187116;15759556;1110276;6,81;72420;682096;1451980;7,89;441516;495040;672;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 15:53:44 UTC;0,00;0,00;2,08;97,92;74,75;12,12;13,13;0,00;0,00;0,00;4,12;95,88;0,00;0,00;0,00;100,00;0,00;11704,00;9501,00;66710,00;15163668;15737216;1133724;6,96;72428;683144;1472620;8,01;441156;496136;696;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:53:45 UTC;0,00;0,00;0,00;100,00;67,68;10,10;21,21;1,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;9808,00;9010,00;65051,00;15182584;15755320;1114808;6,84;72428;682432;1451980;7,89;445860;495324;1596;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:53:46 UTC;0,00;1,04;0,00;98,96;79,80;13,13;6,06;1,01;0,00;1,01;0,00;98,99;0,00;0,00;0,00;100,00;0,00;12256,00;10387,00;76026,00;15180592;15753776;1116800;6,85;72428;682748;1451980;7,89;447412;495772;2204;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:53:47 UTC;0,00;1,04;0,00;98,96;85,00;15,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12240,00;11430,00;80373,00;15180468;15753292;1116924;6,85;72428;682720;1453356;7,90;447624;495408;2232;1800,00;1800,00;1800,00;1800,00;0,00;62,00;60,00;60,00
