# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-07-31 16:13:25 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;3,00;5,00;15149932;15760576;1147460;7,04;74604;717652;1464600;7,96;477944;496000;424;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:13:26 UTC;0,00;0,00;0,00;100,00;1,00;0,00;3,00;96,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;96,00;1,00;6,00;15149808;15760452;1147584;7,04;74612;717676;1464600;7,96;477944;496000;484;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:13:27 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;5,00;15149808;15760452;1147584;7,04;74612;717700;1464600;7,96;477944;496000;508;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:13:28 UTC;0,00;0,00;0,00;100,00;7,07;3,03;0,00;89,90;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;1301,00;14864,00;15144104;15755576;1153288;7,08;74612;718600;1466776;7,97;481668;496828;1408;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:13:29 UTC;0,00;1,03;0,00;98,97;76,00;14,00;9,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8892,00;10274,00;78377,00;15141624;15754468;1155768;7,09;74612;719772;1465400;7,97;483040;498192;1728;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:13:30 UTC;0,00;0,00;0,00;100,00;69,00;14,00;16,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12256,00;9268,00;75985,00;15145344;15757440;1152048;7,07;74612;719220;1465400;7,97;480104;497464;1096;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:13:31 UTC;0,00;0,00;2,06;97,94;71,43;16,33;12,24;0,00;0,00;0,00;3,06;96,94;0,00;0,00;0,00;100,00;0,00;12144,00;9174,00;66848,00;15116328;15729624;1181064;7,25;74620;720564;1494164;8,12;477960;498912;828;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:13:32 UTC;0,00;0,00;0,00;100,00;65,00;11,00;24,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;9808,00;8684,00;73623,00;15144228;15756568;1153164;7,08;74620;719268;1465400;7,97;480888;497708;1436;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 16:13:33 UTC;0,00;1,03;0,00;98,97;79,80;12,12;7,07;1,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12332,00;10335,00;75977,00;15142492;15755224;1154900;7,09;74620;719876;1465400;7,97;482260;498100;1752;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 16:13:34 UTC;0,00;0,00;0,00;100,00;85,00;14,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12856,00;11324,00;83576,00;15143856;15755904;1153536;7,08;74620;719264;1466776;7,97;481500;497408;1368;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
