# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-07-31 16:01:46 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;3,00;5,00;15167036;15759796;1130356;6,94;73384;701032;1456056;7,92;451060;504924;492;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:01:47 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;1,00;5,00;15167036;15759796;1130356;6,94;73384;701056;1456056;7,92;451060;504924;516;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;59,00
BrixPyxis;2019-07-31 16:01:48 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;5,00;15167036;15759796;1130356;6,94;73384;701080;1456056;7,92;451060;504924;540;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;59,00
BrixPyxis;2019-07-31 16:01:49 UTC;0,00;0,00;0,00;100,00;6,93;3,96;0,00;89,11;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;1214,00;25590,00;15164492;15757500;1132900;6,95;73384;701396;1459780;7,94;452044;505172;856;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:01:50 UTC;0,00;0,00;0,00;100,00;85,00;14,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;1,01;0,00;98,99;0,00;4868,00;5414,00;77447,00;15104660;15700648;1192732;7,32;73392;704372;1511580;8,22;451304;508264;616;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:01:51 UTC;0,00;1,05;0,00;98,95;85,86;14,14;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;7468,00;5894,00;84302,00;15162392;15757988;1135000;6,96;73392;703984;1459092;7,93;451696;507872;640;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 16:01:52 UTC;0,00;0,00;0,00;100,00;82,83;17,17;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8008,00;6412,00;94188,00;15162424;15758056;1134968;6,96;73392;704008;1459092;7,93;451696;507928;664;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:01:53 UTC;0,00;0,00;0,00;100,00;82,00;17,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;7784,00;5983,00;93612,00;15162312;15757944;1135080;6,96;73392;704032;1459092;7,93;451892;507928;688;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:01:54 UTC;0,00;0,00;0,00;100,00;84,16;14,85;0,00;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;5132,00;5776,00;74526,00;15161972;15757828;1135420;6,97;73392;704268;1459780;7,94;452096;508172;1296;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 16:01:55 UTC;0,00;0,00;1,06;98,94;83,84;16,16;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;7924,00;5993,00;90335,00;15161704;15757364;1135688;6,97;73400;704076;1459436;7,93;452880;507976;740;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 16:01:56 UTC;0,00;0,00;2,15;97,85;84,00;16,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;9144,00;6476,00;91900,00;15162464;15757200;1134928;6,96;73400;703180;1458748;7,93;451908;507044;764;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
