# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-07-31 15:41:21 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;58,00;13,00;15235228;15749912;1062164;6,52;70924;630772;1492788;8,12;406104;484444;296;1800,00;1800,00;1800,00;1800,00;0,00;60,00;59,00;57,00
BrixPyxis;2019-07-31 15:41:22 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;72,00;0,00;27,00;1107,00;15239196;15753916;1058196;6,49;70924;626556;1492788;8,12;406116;480160;368;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;58,00
BrixPyxis;2019-07-31 15:41:23 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;116,00;21,00;9,00;15239068;15753852;1058324;6,49;70932;626580;1492788;8,12;406124;480216;508;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;58,00
BrixPyxis;2019-07-31 15:41:24 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;5,00;15238940;15753724;1058452;6,49;70932;626604;1492788;8,12;406124;480216;532;1800,00;1800,00;1800,00;1800,00;0,00;60,00;59,00;58,00
BrixPyxis;2019-07-31 15:41:25 UTC;0,00;0,00;0,00;100,00;4,95;2,97;1,98;90,10;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;6584,00;4,00;999,00;15320,00;15218852;15740156;1078540;6,62;70952;632924;1503848;8,18;408084;486612;560;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;59,00
BrixPyxis;2019-07-31 15:41:26 UTC;0,00;0,99;0,00;99,01;93,00;6,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;25692,00;3864,00;2424,00;36444,00;15204984;15752892;1092408;6,70;70952;659844;1493400;8,12;438376;481732;1476;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;59,00
BrixPyxis;2019-07-31 15:41:27 UTC;0,00;0,00;0,00;100,00;89,00;10,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;3583,00;49844,00;15204788;15752696;1092604;6,70;70952;659868;1493400;8,12;438228;481684;1500;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;58,00
BrixPyxis;2019-07-31 15:41:28 UTC;0,00;0,00;0,00;100,00;89,00;10,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8812,00;3723,00;49740,00;15205212;15752532;1092180;6,70;70960;659016;1493400;8,12;438620;481096;680;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;58,00
BrixPyxis;2019-07-31 15:41:29 UTC;0,00;0,00;0,00;100,00;92,00;7,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;5824,00;2599,00;33530,00;15204736;15752896;1092656;6,70;70960;659916;1493400;8,12;438228;481936;1580;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;60,00
BrixPyxis;2019-07-31 15:41:30 UTC;0,00;0,99;0,00;99,01;91,00;8,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;3717,00;49884,00;15204540;15752504;1092852;6,71;70960;659948;1493400;8,12;438228;481740;1684;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;60,00
BrixPyxis;2019-07-31 15:41:31 UTC;0,00;0,00;0,00;100,00;88,00;11,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;3734,00;49752,00;15205336;15752764;1092056;6,70;70960;659096;1493400;8,12;438624;481204;832;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;59,00
BrixPyxis;2019-07-31 15:41:32 UTC;0,00;0,00;0,00;100,00;89,00;10,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;4,00;5824,00;2622,00;33442,00;15204592;15752816;1092800;6,71;70964;660004;1493400;8,12;438636;481988;2024;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;59,00
BrixPyxis;2019-07-31 15:41:33 UTC;0,00;0,00;1,00;99,00;91,92;8,08;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;4,00;8804,00;3451,00;46462,00;15192380;15741260;1105012;6,78;70976;660532;1503504;8,17;438068;482624;892;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:41:34 UTC;0,00;0,00;0,00;100,00;90,00;9,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;4,00;8736,00;3836,00;53249,00;15205140;15752716;1092252;6,70;70980;659192;1493400;8,12;438080;481308;916;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:41:35 UTC;0,00;0,00;0,00;100,00;91,00;8,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;5824,00;2772,00;33453,00;15204344;15752704;1093048;6,71;70980;660092;1493400;8,12;438668;482092;1816;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;59,00
BrixPyxis;2019-07-31 15:41:36 UTC;0,00;0,00;0,00;100,00;91,92;7,07;0,00;1,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;3513,00;49788,00;15205016;15752592;1092376;6,70;70980;659244;1493400;8,12;438080;481308;968;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;59,00
BrixPyxis;2019-07-31 15:41:37 UTC;0,00;0,00;0,00;100,00;89,11;9,90;0,00;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;3762,00;49936,00;15205016;15752648;1092376;6,70;70980;659268;1493400;8,12;438088;481356;992;1800,00;1800,00;1800,00;1800,00;0,00;60,00;59,00;59,00
BrixPyxis;2019-07-31 15:41:38 UTC;0,00;0,00;0,00;100,00;92,00;7,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;5884,00;2761,00;33446,00;15204220;15752440;1093172;6,71;70988;659844;1493400;8,12;438676;481944;1868;1800,00;1800,00;1800,00;1800,00;0,00;60,00;59,00;59,00
BrixPyxis;2019-07-31 15:41:39 UTC;0,00;1,00;0,00;99,00;91,00;8,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;3527,00;49786,00;15204820;15752512;1092572;6,70;70988;659320;1493400;8,12;438088;481412;1052;1800,00;1800,00;1800,00;1800,00;0,00;61,00;59,00;59,00
BrixPyxis;2019-07-31 15:41:40 UTC;0,00;0,00;0,00;100,00;89,00;9,00;0,00;2,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;3555,00;43297,00;15179144;15729580;1118248;6,86;70988;662088;1513608;8,23;437892;484156;1076;1800,00;1800,00;1800,00;1800,00;0,00;61,00;59,00;59,00
BrixPyxis;2019-07-31 15:41:41 UTC;0,00;0,00;0,00;100,00;93,00;7,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;5824,00;2981,00;40098,00;15204468;15752804;1092924;6,71;70988;659952;1493400;8,12;438676;482056;2044;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;59,00
BrixPyxis;2019-07-31 15:41:42 UTC;0,00;0,00;0,00;100,00;89,00;9,00;0,00;2,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;3509,00;49791,00;15204892;15752640;1092500;6,70;70988;659396;1493400;8,12;438088;481468;1196;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;59,00
BrixPyxis;2019-07-31 15:41:43 UTC;0,00;0,00;0,00;100,00;90,10;8,91;0,00;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8800,00;3396,00;34461,00;15168012;15718504;1129380;6,93;70996;662164;1521172;8,27;437696;484212;1220;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:41:44 UTC;0,00;0,00;0,00;100,00;92,00;7,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;5824,00;3140,00;48937,00;15204220;15752416;1093172;6,71;70996;660028;1493400;8,12;438676;481916;1828;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:41:45 UTC;0,00;0,00;0,00;100,00;90,91;8,08;0,00;1,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;3504,00;49408,00;15203200;15752376;1094192;6,71;70996;660840;1493400;8,12;438088;482896;1268;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;59,00
BrixPyxis;2019-07-31 15:41:46 UTC;0,00;0,00;0,00;100,00;91,00;8,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;3401,00;34834,00;15202856;15753460;1094536;6,72;70996;662236;1493400;8,12;437712;484308;1292;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;59,00
