# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-08-02 14:32:04 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;3,00;11,00;10360968;15581616;5936424;36,43;339656;4962836;1710000;9,30;1499236;4119192;432;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;60,00
BrixPyxis;2019-08-02 14:32:05 UTC;0,00;0,00;5,00;95,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;84,00;2,00;5,00;10360968;15581616;5936424;36,43;339664;4962856;1710000;9,30;1499236;4119192;456;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:32:06 UTC;0,00;0,00;10,00;90,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;5,00;10360968;15581616;5936424;36,43;339664;4962884;1710000;9,30;1499236;4119192;520;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:32:07 UTC;0,00;0,00;0,00;100,00;10,00;0,00;0,00;90,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;143,00;4821,00;10356256;15581076;5941136;36,45;339664;4966996;1710740;9,30;1499240;4123164;4632;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:32:08 UTC;0,00;0,99;0,00;99,01;90,00;10,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16088,00;1309,00;36941,00;10351976;15579956;5945416;36,48;339664;4969860;1712328;9,31;1500220;4126324;572;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:32:09 UTC;0,00;0,00;0,00;100,00;91,92;8,08;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,99;0,00;99,01;0,00;32168,00;392,00;19020,00;10353652;15580456;5943740;36,47;339664;4968940;1713024;9,31;1500220;4125148;6436;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:32:10 UTC;0,00;0,00;0,00;100,00;95,05;4,95;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;32168,00;279,00;14304,00;10347452;15580136;5949940;36,51;339664;4974976;1713364;9,31;1500220;4131028;12592;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:32:11 UTC;0,00;0,00;0,00;100,00;93,94;6,06;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;48620,00;524,00;25784,00;10352504;15579752;5944888;36,48;339672;4969264;1713364;9,31;1500220;4125592;624;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:32:12 UTC;0,00;0,00;0,00;100,00;95,00;5,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;32168,00;394,00;18762,00;10353336;15580388;5944056;36,47;339672;4969032;1713364;9,31;1500220;4125396;6488;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:32:13 UTC;0,00;0,00;0,00;100,00;96,00;4,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;32168,00;342,00;17238,00;10347632;15579976;5949760;36,51;339672;4974584;1712892;9,31;1500220;4130688;11772;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
