# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-08-02 14:20:38 UTC;0,00;0,00;0,00;100,00;0,00;0,99;0,00;99,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;3,00;5,00;10379620;15582424;5917772;36,31;338540;4946744;1722588;9,36;1497976;4103092;280;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:20:39 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;1,00;5,00;10379620;15582424;5917772;36,31;338540;4946768;1722588;9,36;1497976;4103092;304;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;60,00
BrixPyxis;2019-08-02 14:20:40 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;84,00;0,00;6,00;10379620;15582424;5917772;36,31;338548;4946792;1722588;9,36;1497976;4103092;360;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;60,00
BrixPyxis;2019-08-02 14:20:41 UTC;0,00;0,00;0,00;100,00;7,00;3,00;0,00;90,00;0,00;0,00;0,00;100,00;1,00;0,00;0,00;99,00;0,00;0,00;605,00;19595,00;10377760;15581000;5919632;36,32;338548;4947108;1726032;9,38;1498580;4103524;676;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:20:42 UTC;0,00;0,00;0,00;100,00;94,06;4,95;0,00;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;921,00;22917,00;10362260;15581132;5935132;36,42;338548;4962748;1726032;9,38;1498620;4118964;16380;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:20:43 UTC;0,00;0,00;0,00;100,00;80,61;8,16;11,22;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;35456,00;1981,00;51187,00;10364244;15581224;5933148;36,41;338548;4960548;1724312;9,37;1498564;4116876;436;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:20:44 UTC;0,00;0,00;0,00;100,00;31,68;1,98;66,34;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;49,00;3127,00;10363004;15581404;5934388;36,41;338548;4962316;1724312;9,37;1498564;4118388;14184;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:20:45 UTC;0,00;0,00;87,88;12,12;16,00;1,00;83,00;0,00;0,00;0,00;2,00;98,00;0,00;0,00;87,00;13,00;0,00;16132,00;556,00;3561,00;10359780;15579440;5937612;36,43;338556;4963292;1726640;9,39;1499872;4119584;728;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;61,00
BrixPyxis;2019-08-02 14:20:46 UTC;0,00;0,00;0,00;100,00;67,68;7,07;25,25;0,00;0,00;0,00;2,02;97,98;0,00;0,00;0,00;100,00;0,00;19360,00;1239,00;40193,00;10368088;15580928;5929304;36,38;338556;4956524;1724312;9,37;1498564;4112836;508;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;61,00
BrixPyxis;2019-08-02 14:20:47 UTC;0,00;0,00;0,00;100,00;56,00;3,00;41,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16096,00;544,00;3042,00;10360524;15581264;5936868;36,43;338556;4964652;1724312;9,37;1498760;4120788;1996;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:20:48 UTC;0,00;0,00;0,00;100,00;23,76;3,96;71,29;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;1624,00;434,00;21936,00;10366352;15581008;5931040;36,39;338556;4958664;1724312;9,37;1498568;4114848;10488;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:20:49 UTC;0,00;0,00;0,00;100,00;35,71;3,06;61,22;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;17764,00;884,00;22146,00;10373172;15580888;5924220;36,35;338556;4951480;1724312;9,37;1498564;4107832;684;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:20:50 UTC;0,00;0,00;0,00;100,00;70,71;7,07;22,22;0,00;0,00;0,00;0,00;100,00;0,00;0,00;11,11;88,89;0,00;18716,00;1320,00;20404,00;10359532;15580544;5937860;36,43;338564;4964612;1724312;9,37;1498572;4120932;1224;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:20:51 UTC;0,00;0,00;0,00;100,00;45,10;5,88;49,02;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16772,00;584,00;16633,00;10361020;15580480;5936372;36,43;338564;4963288;1724312;9,37;1498960;4119504;664;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:20:52 UTC;0,00;0,00;0,00;100,00;91,09;7,92;0,00;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;19356,00;1614,00;45238,00;10368832;15581472;5928560;36,38;338564;4956384;1724312;9,37;1498636;4112748;8280;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:20:53 UTC;0,00;0,00;0,00;100,00;93,94;6,06;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;17720,00;1422,00;23849,00;10359552;15580620;5937840;36,43;338564;4964772;1726032;9,38;1498636;4120980;18536;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:20:54 UTC;0,00;0,00;0,00;100,00;89,00;10,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;35440,00;1373,00;45294,00;10364740;15580180;5932652;36,40;338564;4959248;1726032;9,38;1498636;4115548;12732;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:20:55 UTC;0,00;0,00;0,00;100,00;90,91;9,09;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;35492,00;1838,00;45823,00;10376148;15580416;5921244;36,33;338572;4948176;1726032;9,38;1498636;4104376;1696;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;61,00
BrixPyxis;2019-08-02 14:20:56 UTC;0,00;0,00;0,00;100,00;92,00;6,00;1,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;17720,00;941,00;22558,00;10359904;15581108;5937488;36,43;338572;4964784;1724312;9,37;1498576;4121256;16904;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;61,00
BrixPyxis;2019-08-02 14:20:57 UTC;0,00;0,00;0,00;100,00;87,13;11,88;0,00;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;35440,00;1804,00;45771,00;10370196;15580824;5927196;36,37;338572;4954880;1724312;9,37;1498580;4110876;6708;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;61,00
BrixPyxis;2019-08-02 14:20:58 UTC;0,00;1,00;0,00;99,00;95,05;4,95;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;34752,00;1226,00;23718,00;10360316;15581104;5937076;36,43;338572;4964504;1725000;9,38;1498440;4120700;920;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:20:59 UTC;0,00;0,00;0,00;100,00;9,09;3,03;87,88;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;688,00;574,00;18710,00;10362248;15580684;5935144;36,42;338572;4962012;1724312;9,37;1498580;4118348;948;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:21:00 UTC;0,00;0,00;0,00;100,00;0,00;0,00;100,00;0,00;0,00;0,00;89,00;11,00;0,00;0,00;0,00;100,00;0,00;372,00;1,00;2670,00;10372716;15588056;5924676;36,35;338576;4951556;1724312;9,37;1498592;4107928;660;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:21:01 UTC;0,00;0,00;0,00;100,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;1058,00;10376628;15587936;5920764;36,33;338576;4947572;1724312;9,37;1498592;4103896;684;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:21:02 UTC;0,00;0,00;0,00;100,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;775,00;10379876;15587924;5917516;36,31;338576;4944436;1724312;9,37;1498592;4100760;708;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
