# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-08-02 14:07:29 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;1,00;0,00;0,00;99,00;0,00;0,00;84,00;17,00;10391972;15575244;5905420;36,24;337272;4929400;1769088;9,62;1502680;4085832;204;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:07:30 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;14,00;13,00;10391972;15575244;5905420;36,24;337272;4929464;1769088;9,62;1502680;4085832;228;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:07:31 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;1,00;0,00;0,00;99,00;0,00;88,00;24,00;20,00;10391724;15575048;5905668;36,24;337280;4929428;1769088;9,62;1502692;4085864;332;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:07:32 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;5,00;10391724;15575048;5905668;36,24;337280;4929456;1769088;9,62;1502692;4085864;356;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;60,00
BrixPyxis;2019-08-02 14:07:33 UTC;0,00;0,00;0,00;100,00;7,00;3,00;0,00;90,00;0,00;0,00;0,00;100,00;0,00;0,99;0,00;99,01;0,00;0,00;593,00;20050,00;10390608;15574324;5906784;36,24;337280;4929580;1764544;9,59;1503280;4086060;676;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;60,00
BrixPyxis;2019-08-02 14:07:34 UTC;0,00;0,00;0,00;100,00;91,00;9,00;0,00;0,00;0,99;0,00;0,00;99,01;0,00;6,60;0,00;93,40;0,00;0,00;965,00;23306,00;10374860;15574140;5922532;36,34;337280;4945420;1764544;9,59;1503340;4101536;16180;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:07:35 UTC;1,01;0,00;0,00;98,99;90,10;8,91;0,00;0,99;2,00;0,00;0,00;98,00;2,88;1,92;0,00;95,19;0,00;35456,00;1901,00;46719,00;10385896;15574736;5911496;36,27;337280;4935060;1763512;9,59;1503148;4091592;5692;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:07:36 UTC;0,00;0,00;0,00;100,00;93,00;7,00;0,00;0,00;0,00;0,00;0,00;100,00;1,00;1,00;0,00;98,00;0,00;17720,00;1146,00;23400,00;10373008;15573632;5924384;36,35;337280;4947088;1763168;9,59;1503540;4103288;17396;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:07:37 UTC;0,00;0,00;0,00;100,00;90,91;9,09;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;35500,00;1673,00;46516,00;10380880;15574300;5916512;36,30;337288;4939768;1763168;9,59;1503156;4096084;10156;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:07:38 UTC;0,00;0,00;0,00;100,00;36,00;5,00;59,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;17720,00;1047,00;30600,00;10383516;15573792;5913876;36,29;337288;4936504;1762824;9,58;1503296;4092904;548;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
