# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-08-02 14:22:57 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;3,00;5,00;10376364;15582688;5921028;36,33;338756;4950444;1715244;9,32;1498200;4106792;364;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;61,00
BrixPyxis;2019-08-02 14:22:58 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;80,00;3,00;24,00;10376364;15582664;5921028;36,33;338764;4950468;1715244;9,32;1498212;4106836;424;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:22:59 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;25,00;8,00;10376364;15582664;5921028;36,33;338764;4950492;1715244;9,32;1498212;4106836;548;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:23:00 UTC;0,00;0,00;0,00;100,00;8,08;1,01;0,00;90,91;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;1263,00;13421,00;10376364;15583448;5921028;36,33;338764;4946100;1719188;9,35;1502132;4102328;1448;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:23:01 UTC;1,00;0,00;0,00;99,00;85,15;11,88;0,00;2,97;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;10700,00;11855,00;83328,00;10380512;15587008;5916880;36,31;338764;4945464;1719188;9,35;1498644;4101752;600;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:23:02 UTC;0,00;0,00;0,00;100,00;86,00;12,00;0,00;2,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;10700,00;11904,00;69862,00;10375496;15582776;5921896;36,34;338764;4946364;1719188;9,35;1502956;4102536;1792;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:23:03 UTC;0,00;0,00;0,00;100,00;86,00;12,00;0,00;2,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12948,00;11734,00;83514,00;10380512;15587060;5916880;36,31;338772;4945512;1719188;9,35;1498656;4101800;572;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:23:04 UTC;0,00;0,00;0,00;100,00;88,00;10,00;0,00;2,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;10700,00;11994,00;69683,00;10374752;15582280;5922640;36,34;338772;4946412;1719188;9,35;1503556;4102780;1780;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;61,00
BrixPyxis;2019-08-02 14:23:05 UTC;0,00;0,00;0,00;100,00;82,00;16,00;0,00;2,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12840,00;11769,00;83548,00;10380208;15586808;5917184;36,31;338772;4945560;1719188;9,35;1499252;4101848;636;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;61,00
BrixPyxis;2019-08-02 14:23:06 UTC;0,00;0,99;0,00;99,01;87,88;10,10;0,00;2,02;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;10700,00;12042,00;69637,00;10373264;15581040;5924128;36,35;338772;4946756;1719188;9,35;1504544;4103024;2132;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:23:07 UTC;0,00;0,00;0,00;100,00;85,00;13,00;0,00;2,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12840,00;11784,00;83556,00;10378720;15585572;5918672;36,32;338772;4945904;1719188;9,35;1500232;4102100;988;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:23:08 UTC;0,00;0,00;1,01;98,99;87,00;11,00;0,00;2,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;10748,00;12034,00;71343,00;10378584;15586812;5918808;36,32;338780;4947096;1719188;9,35;1498664;4103472;2496;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;62,00
BrixPyxis;2019-08-02 14:23:09 UTC;0,00;0,00;0,00;100,00;78,22;12,87;5,94;2,97;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12840,00;11012,00;81187,00;10378472;15587152;5918920;36,32;338780;4947620;1718156;9,34;1498620;4103920;780;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;62,00
BrixPyxis;2019-08-02 14:23:10 UTC;0,00;0,00;0,00;100,00;16,00;3,00;81,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;2140,00;2360,00;14377,00;10379588;15586696;5917804;36,31;338780;4946020;1718156;9,34;1499208;4102348;812;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
