# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-08-02 14:09:46 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;53,00;13,00;10387536;15574188;5909856;36,26;337496;4934912;1775332;9,65;1503008;4091288;332;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:09:47 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;1,00;0,00;99,00;0,00;0,00;0,00;100,00;0,00;0,00;21,00;1827,00;10387412;15574068;5909980;36,26;337496;4934936;1775332;9,65;1503008;4091344;356;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:09:48 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,99;0,00;99,01;0,00;0,00;20,00;650,00;10389272;15575948;5908120;36,25;337496;4932448;1775332;9,65;1503008;4088852;380;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:09:49 UTC;0,00;0,00;15,15;84,85;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;244,00;0,00;6,00;10389140;15575840;5908252;36,25;337504;4932472;1775332;9,65;1503008;4088876;316;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;61,00
BrixPyxis;2019-08-02 14:09:50 UTC;0,00;0,00;0,00;100,00;7,92;2,97;0,00;89,11;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;1334,00;13563,00;10384180;15571664;5913212;36,28;337504;4933376;1774204;9,65;1507124;4089464;1220;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;61,00
BrixPyxis;2019-08-02 14:09:51 UTC;0,00;0,00;0,00;100,00;38,78;7,14;53,06;1,02;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;4288,00;5559,00;47907,00;10386536;15575444;5910856;36,27;337504;4934664;1773172;9,64;1503360;4091056;368;1800,00;1800,00;1800,00;1800,00;0,00;62,00;62,00;60,00
BrixPyxis;2019-08-02 14:09:52 UTC;0,00;0,00;0,00;100,00;22,00;3,00;75,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;2140,00;3092,00;14654,00;10384180;15572104;5913212;36,28;337504;4933952;1773172;9,64;1506892;4090072;1268;1800,00;1800,00;1800,00;1800,00;0,00;62,00;62,00;60,00
BrixPyxis;2019-08-02 14:09:53 UTC;0,00;0,00;0,00;100,00;87,00;11,00;0,00;2,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12840,00;11660,00;73154,00;10387156;15576088;5910236;36,26;337504;4934712;1774204;9,65;1503012;4091080;416;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:09:54 UTC;0,00;0,00;0,00;100,00;83,17;13,86;0,00;2,97;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;10756,00;12049,00;83132,00;10382940;15570696;5914452;36,29;337512;4933652;1774204;9,65;1507520;4089904;1360;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:09:55 UTC;0,00;0,00;0,00;100,00;84,00;14,00;0,00;2,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12840,00;11545,00;73046,00;10359256;15548244;5938136;36,44;337512;4934764;1802460;9,80;1503012;4091136;616;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
