# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-08-02 14:34:04 UTC;0,00;1,00;0,00;99,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;44,00;53,00;13,00;10356484;15578924;5940908;36,45;339840;4968248;1722912;9,37;1499436;4124612;364;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:34:05 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;18,00;1833,00;10356360;15578816;5941032;36,45;339840;4968496;1722912;9,37;1499452;4124804;388;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:34:06 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;1,00;0,00;0,00;99,00;0,00;0,00;26,00;1040,00;10359708;15582164;5937684;36,43;339840;4964424;1722912;9,37;1499452;4120756;424;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:34:07 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;5,00;10359584;15582096;5937808;36,43;339840;4964448;1722912;9,37;1499452;4120812;448;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:34:08 UTC;0,00;0,00;0,00;100,00;9,09;0,00;0,00;90,91;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;108,00;1403,00;4783,00;10353384;15577080;5944008;36,47;339848;4965644;1714312;9,32;1504556;4121964;1740;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:34:09 UTC;0,00;0,00;0,00;100,00;94,00;6,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;10272,00;13328,00;41907,00;10340116;15564400;5957276;36,55;339848;4966368;1725680;9,38;1506124;4122552;2348;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:34:10 UTC;0,00;0,00;0,00;100,00;92,00;8,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;14536,00;13385,00;49998,00;10358560;15581700;5938832;36,44;339848;4965132;1715168;9,32;1500244;4121432;620;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;61,00
BrixPyxis;2019-08-02 14:34:11 UTC;0,00;0,00;0,00;100,00;92,00;8,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12404,00;13312,00;39130,00;10356824;15579964;5940568;36,45;339848;4965364;1715600;9,33;1501812;4121432;1228;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;61,00
BrixPyxis;2019-08-02 14:34:12 UTC;0,00;0,00;0,00;100,00;92,00;8,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12824,00;13180,00;39126,00;10343928;15567656;5953464;36,53;339848;4965700;1725036;9,38;1502792;4122020;1544;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;61,00
BrixPyxis;2019-08-02 14:34:13 UTC;0,00;0,00;0,00;100,00;92,00;8,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12452,00;13299,00;44899,00;10342192;15566172;5955200;36,54;339856;4965844;1742212;9,47;1504360;4122272;2156;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;61,00
