# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-08-02 14:42:19 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;3,00;5,00;10348048;15582492;5949344;36,50;340656;4975484;1719688;9,35;1500256;4131828;452;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;60,00
BrixPyxis;2019-08-02 14:42:20 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;296,00;2,00;9,00;10347924;15582368;5949468;36,51;340656;4975508;1719688;9,35;1500256;4131828;184;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:42:21 UTC;0,00;0,00;0,99;99,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;92,00;0,00;6,00;10347908;15582352;5949484;36,51;340664;4975532;1719688;9,35;1500288;4131828;232;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:42:22 UTC;0,00;0,00;0,00;100,00;9,09;0,00;0,00;90,91;0,00;1,00;0,00;99,00;0,99;0,00;0,00;99,01;0,00;0,00;141,00;4854,00;10347040;15581484;5950352;36,51;340664;4975556;1721568;9,36;1500288;4131828;256;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:42:23 UTC;11,00;0,00;1,00;88,00;94,00;6,00;0,00;0,00;0,00;0,00;1,00;99,00;0,00;0,00;0,00;100,00;0,00;32,00;1153,00;33210,00;10334828;15569684;5962564;36,59;340664;4976036;1732940;9,42;1500484;4132284;576;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:42:24 UTC;0,00;0,00;0,00;100,00;95,05;4,95;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;876,00;1278,00;36341,00;10346236;15580932;5951156;36,52;340664;4975764;1722896;9,37;1500680;4132144;600;1800,00;1800,00;1800,00;1800,00;0,00;62,00;62,00;60,00
BrixPyxis;2019-08-02 14:42:25 UTC;0,00;0,00;0,00;100,00;95,00;5,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;876,00;1162,00;33391,00;10346432;15581128;5950960;36,51;340664;4975784;1722896;9,37;1500680;4132144;332;1800,00;1800,00;1800,00;1800,00;0,00;62,00;62,00;60,00
BrixPyxis;2019-08-02 14:42:26 UTC;0,00;0,00;0,00;100,00;95,00;5,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;928,00;1113,00;33337,00;10323172;15558064;5974220;36,66;340672;4976196;1743368;9,48;1500484;4132340;356;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:42:27 UTC;0,00;0,00;0,00;100,00;96,00;4,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;876,00;1222,00;33409,00;10334580;15569528;5962812;36,59;340672;4976216;1732980;9,42;1500488;4132392;380;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:42:28 UTC;0,00;0,00;0,00;100,00;95,00;5,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;456,00;1160,00;33313,00;10334208;15569156;5963184;36,59;340672;4976240;1733624;9,42;1500684;4132392;700;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
