# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-08-02 14:17:13 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;71,00;14,00;10384924;15582240;5912468;36,28;338212;4942044;1718384;9,34;1497680;4098384;432;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:17:14 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;18,00;13,00;10384924;15582240;5912468;36,28;338212;4942068;1718384;9,34;1497680;4098384;456;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:17:15 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;21,00;20,00;10384924;15582240;5912468;36,28;338212;4942076;1718384;9,34;1497680;4098404;480;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:17:16 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;5,00;10384800;15582140;5912592;36,28;338212;4942100;1718384;9,34;1497680;4098428;504;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:17:17 UTC;0,00;0,00;4,04;95,96;7,00;3,00;0,00;90,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;108,00;1148,00;20187,00;10382040;15579824;5915352;36,30;338220;4942312;1717212;9,34;1499640;4098756;824;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:17:18 UTC;0,00;0,00;0,00;100,00;87,00;13,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;2940,00;4896,00;77594,00;10370944;15568924;5926448;36,36;338220;4942824;1725528;9,38;1498268;4098952;604;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:17:19 UTC;0,00;1,00;0,00;99,00;85,15;14,85;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3592,00;5514,00;92739,00;10370696;15568676;5926696;36,37;338220;4942740;1727380;9,39;1498072;4098952;628;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:17:20 UTC;0,00;0,00;0,00;100,00;88,00;12,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3168,00;5496,00;80407,00;10381696;15579716;5915696;36,30;338220;4942756;1716868;9,33;1499248;4099008;652;1800,00;1800,00;1800,00;1800,00;0,00;64,00;63,00;62,00
BrixPyxis;2019-08-02 14:17:21 UTC;0,00;0,00;0,00;100,00;86,00;14,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3708,00;5654,00;93242,00;10370232;15568252;5927160;36,37;338220;4942868;1727380;9,39;1498072;4099008;676;1800,00;1800,00;1800,00;1800,00;0,00;64,00;63,00;62,00
BrixPyxis;2019-08-02 14:17:22 UTC;0,00;0,00;2,04;97,96;87,88;12,12;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3232,00;5167,00;80356,00;10381624;15579700;5915768;36,30;338228;4942888;1716868;9,33;1498276;4099056;716;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:17:23 UTC;0,00;0,00;0,00;100,00;84,00;16,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3708,00;5951,00;93282,00;10369256;15567388;5928136;36,37;338228;4943000;1727380;9,39;1498080;4099112;740;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:17:24 UTC;0,00;0,00;0,00;100,00;88,00;12,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,99;0,00;99,01;0,00;3168,00;5169,00;80364,00;10380616;15578748;5916776;36,31;338228;4943016;1716868;9,33;1498276;4099112;764;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:17:25 UTC;0,00;0,00;0,00;100,00;85,00;15,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3708,00;5972,00;93281,00;10368248;15566436;5929144;36,38;338228;4942932;1727380;9,39;1498088;4099160;788;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:17:26 UTC;0,00;0,00;0,00;100,00;89,00;11,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3056,00;5105,00;80219,00;10379380;15577568;5918012;36,31;338228;4942948;1716868;9,33;1498480;4099160;812;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;62,00
BrixPyxis;2019-08-02 14:17:27 UTC;0,00;0,00;3,00;97,00;84,00;16,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3864,00;6016,00;93430,00;10367348;15565536;5930044;36,39;338236;4943052;1727724;9,39;1498088;4099160;836;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;62,00
BrixPyxis;2019-08-02 14:17:28 UTC;0,00;0,00;0,00;100,00;87,00;13,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3056,00;5117,00;80239,00;10378312;15576556;5919080;36,32;338236;4943080;1717212;9,34;1498480;4099216;864;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:17:29 UTC;0,00;0,00;0,00;100,00;86,00;14,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3820,00;6091,00;96448,00;10377948;15576192;5919444;36,32;338236;4942996;1717212;9,34;1498088;4099216;888;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:17:30 UTC;0,00;0,00;0,00;100,00;89,00;11,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3056,00;5036,00;77218,00;10377192;15575436;5920200;36,33;338236;4943012;1717212;9,34;1498284;4099216;912;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:17:31 UTC;0,00;0,00;0,00;100,00;84,00;16,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3820,00;6098,00;96428,00;10376656;15574900;5920736;36,33;338236;4943124;1717212;9,34;1498088;4099216;936;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:17:32 UTC;0,00;0,00;0,00;100,00;87,00;13,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3096,00;5060,00;77235,00;10376232;15574732;5921160;36,33;338244;4943140;1717212;9,34;1498284;4099272;964;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;61,00
BrixPyxis;2019-08-02 14:17:33 UTC;0,00;0,00;0,00;100,00;86,00;14,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3820,00;6090,00;96440,00;10375596;15574152;5921796;36,34;338244;4943056;1717212;9,34;1498100;4099316;988;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;61,00
BrixPyxis;2019-08-02 14:17:34 UTC;0,00;1,00;0,00;99,00;87,13;12,87;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3056,00;5080,00;77246,00;10375204;15573760;5922188;36,34;338244;4943272;1717212;9,34;1498296;4099316;1104;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:17:35 UTC;0,00;0,00;0,00;100,00;85,86;14,14;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;4204,00;6072,00;96450,00;10374436;15573048;5922956;36,34;338244;4943188;1717212;9,34;1498100;4099372;836;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:17:36 UTC;0,00;0,00;0,00;100,00;86,14;13,86;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3056,00;5055,00;77239,00;10374020;15572648;5923372;36,35;338244;4943204;1717212;9,34;1498492;4099388;768;1800,00;1800,00;1800,00;1800,00;0,00;64,00;62,00;61,00
BrixPyxis;2019-08-02 14:17:37 UTC;0,00;1,00;0,00;99,00;86,00;14,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3872,00;6087,00;96437,00;10373636;15572464;5923756;36,35;338252;4943308;1717212;9,34;1498100;4099388;792;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:17:38 UTC;0,00;0,00;0,00;100,00;87,88;12,12;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3056,00;5090,00;77225,00;10373100;15571956;5924292;36,35;338252;4943332;1717212;9,34;1498304;4099408;988;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:17:39 UTC;0,00;0,00;0,00;100,00;85,86;14,14;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3820,00;6085,00;96431,00;10372708;15571564;5924684;36,35;338252;4943252;1717212;9,34;1498108;4099408;1016;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;62,00
BrixPyxis;2019-08-02 14:17:40 UTC;0,00;0,00;0,00;100,00;88,12;11,88;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3056,00;5069,00;77251,00;10371924;15570780;5925468;36,36;338252;4943268;1717212;9,34;1498304;4099408;1052;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;62,00
BrixPyxis;2019-08-02 14:17:41 UTC;0,00;1,96;0,00;98,04;84,00;16,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3820,00;6089,00;96444,00;10371620;15570728;5925772;36,36;338252;4943380;1717212;9,34;1498108;4099464;1084;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:17:42 UTC;0,00;0,00;0,00;100,00;87,88;12,12;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3104,00;5038,00;77240,00;10370756;15569920;5926636;36,37;338260;4943396;1717212;9,34;1498308;4099516;1108;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:17:43 UTC;0,00;0,00;0,00;100,00;83,17;16,83;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3820,00;6087,00;96447,00;10370332;15569496;5927060;36,37;338260;4943312;1717212;9,34;1498112;4099516;1132;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;62,00
