# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-08-02 14:28:37 UTC;0,00;0,00;0,00;100,00;0,99;0,00;0,00;99,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;112,00;72,00;15,00;10367352;15582508;5930040;36,39;339312;4958080;1731824;9,41;1498892;4114424;496;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:28:38 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;18,00;13,00;10367228;15582424;5930164;36,39;339312;4958104;1731824;9,41;1498908;4114464;520;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;60,00
BrixPyxis;2019-08-02 14:28:39 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;1,00;0,00;0,00;99,00;0,00;0,00;0,00;100,00;0,00;0,00;21,00;20,00;10367228;15582424;5930164;36,39;339312;4958112;1731824;9,41;1498908;4114456;544;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;60,00
BrixPyxis;2019-08-02 14:28:40 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;2,00;8,00;10367228;15582480;5930164;36,39;339312;4958136;1731824;9,41;1498908;4114512;576;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:28:41 UTC;0,00;0,00;0,00;100,00;8,00;2,00;0,00;90,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;999,00;20461,00;10365800;15581248;5931592;36,40;339312;4958260;1736800;9,44;1499496;4114512;896;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:28:42 UTC;0,00;0,00;0,00;100,00;87,00;12,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;2564,00;5147,00;77291,00;10365800;15581452;5931592;36,40;339320;4958460;1736800;9,44;1500088;4114796;628;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:28:43 UTC;0,00;0,00;0,00;100,00;84,00;14,00;0,00;2,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3596,00;5492,00;95899,00;10365300;15581008;5932092;36,40;339320;4958484;1736800;9,44;1499704;4114844;652;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:28:44 UTC;0,00;1,00;0,00;99,00;85,15;12,87;0,00;1,98;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3280,00;5427,00;77891,00;10365356;15581064;5932036;36,40;339320;4958508;1736800;9,44;1499508;4114844;676;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:28:45 UTC;0,00;0,00;0,00;100,00;84,85;13,13;0,00;2,02;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3596,00;5701,00;95930,00;10365176;15580888;5932216;36,40;339320;4958532;1736800;9,44;1499704;4114844;700;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:28:46 UTC;0,00;0,00;0,00;100,00;86,14;11,88;0,00;1,98;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3280,00;5429,00;77894,00;10365232;15580944;5932160;36,40;339320;4958560;1736800;9,44;1499508;4114844;728;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
