# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-08-02 14:13:12 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;3,00;5,00;10389828;15582096;5907564;36,25;337820;4937176;1719952;9,35;1497292;4093524;320;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:13:13 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;4,00;16,00;10389828;15582096;5907564;36,25;337820;4937176;1719952;9,35;1497292;4093524;320;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:13:14 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;80,00;25,00;8,00;10389828;15582112;5907564;36,25;337828;4937224;1719952;9,35;1497292;4093536;500;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:13:15 UTC;0,00;0,00;0,00;100,00;8,00;2,00;0,00;90,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;543,00;16255,00;10390572;15583444;5906820;36,24;337828;4934476;1723316;9,37;1498272;4090792;1084;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:13:16 UTC;0,00;0,00;0,00;100,00;92,08;6,93;0,00;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;2912,00;3089,00;32791,00;10381768;15575504;5915624;36,30;337828;4942708;1723316;9,37;1499476;4099028;2012;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:13:17 UTC;0,00;0,00;0,00;100,00;87,88;11,11;0,00;1,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;3237,00;48617,00;10383256;15576600;5914136;36,29;337828;4942416;1723316;9,37;1497908;4098636;1428;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:13:18 UTC;0,00;0,00;0,00;100,00;90,10;8,91;0,00;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;3731,00;48525,00;10383660;15576668;5913732;36,29;337828;4941880;1723316;9,37;1498300;4098300;1196;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:13:19 UTC;0,00;0,99;0,00;99,01;93,00;6,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;5884,00;3075,00;32757,00;10381676;15575468;5915716;36,30;337836;4942780;1723316;9,37;1499476;4099084;2120;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:13:20 UTC;0,00;0,00;0,00;100,00;89,00;10,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;3238,00;48667,00;10383536;15576936;5913856;36,29;337836;4942488;1723316;9,37;1497908;4098692;1536;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:13:21 UTC;0,00;0,00;0,00;100,00;89,90;9,09;0,00;1,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;3728,00;48520,00;10384032;15576904;5913360;36,28;337836;4941956;1723316;9,37;1498308;4098152;1012;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:13:22 UTC;0,00;0,00;0,00;100,00;92,08;6,93;0,00;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;5824,00;2937,00;32760,00;10382296;15576148;5915096;36,29;337836;4942832;1723316;9,37;1498896;4099132;2180;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:13:23 UTC;0,00;0,00;0,00;100,00;91,92;7,07;0,00;1,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;3379,00;48602,00;10383412;15576876;5913980;36,29;337836;4942564;1723316;9,37;1497916;4098740;1620;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:13:24 UTC;0,00;0,00;0,00;100,00;91,00;8,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8784,00;3722,00;48517,00;10383908;15576596;5913484;36,28;337844;4942028;1723316;9,37;1498308;4098012;1088;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:13:25 UTC;0,00;0,00;0,00;100,00;91,09;7,92;0,00;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;5824,00;2796,00;32758,00;10382916;15576780;5914476;36,29;337844;4942904;1723316;9,37;1498308;4099188;2256;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:13:26 UTC;0,00;0,00;0,00;100,00;67,68;7,07;24,24;1,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;7200,00;2564,00;43680,00;10381632;15577040;5915760;36,30;337844;4944528;1721940;9,36;1497764;4100812;844;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:13:27 UTC;0,00;0,00;0,00;100,00;37,00;5,00;58,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;2912,00;1890,00;16939,00;10381848;15576108;5915544;36,30;337844;4943432;1721940;9,36;1499140;4099664;1164;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:13:28 UTC;0,00;0,00;0,00;100,00;39,00;7,00;54,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;4452,00;1602,00;22661,00;10382004;15576740;5915388;36,30;337844;4943972;1721940;9,36;1498352;4100140;1188;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;61,00
BrixPyxis;2019-08-02 14:13:29 UTC;0,00;0,00;0,00;100,00;48,00;4,00;48,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;75,76;24,24;0,00;3900,00;1297,00;16458,00;10381632;15577152;5915760;36,30;337852;4944664;1721940;9,36;1497768;4100924;896;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;61,00
BrixPyxis;2019-08-02 14:13:30 UTC;0,00;0,00;0,00;100,00;43,00;5,00;52,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3384,00;1593,00;28028,00;10381648;15577224;5915744;36,30;337852;4944628;1721940;9,36;1497776;4100972;944;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:13:31 UTC;0,00;0,00;56,00;44,00;33,33;4,04;62,63;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3220,00;1251,00;16470,00;10382552;15577120;5914840;36,29;337852;4943684;1721940;9,36;1497776;4099964;576;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:13:32 UTC;0,00;0,99;99,01;0,00;39,00;5,00;56,00;0,00;0,00;0,99;0,00;99,01;0,00;0,00;0,00;100,00;0,00;4448,00;1954,00;19904,00;10381552;15577168;5915840;36,30;337852;4944652;1721940;9,36;1497772;4101012;584;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
