# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-08-02 14:25:13 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;3,00;5,00;10372460;15582448;5924932;36,36;338988;4953232;1719576;9,35;1498400;4109568;580;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:25:14 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;2,00;5,00;10372336;15582352;5925056;36,36;338988;4953280;1719576;9,35;1498452;4109628;628;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:25:15 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;2,00;8,00;10372336;15582352;5925056;36,36;338988;4953304;1719576;9,35;1498452;4109628;660;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:25:16 UTC;0,00;0,00;0,00;100,00;8,08;2,02;0,00;89,90;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;1103,00;16861,00;10369504;15580892;5927888;36,37;338988;4954764;1721712;9,36;1499040;4110804;2120;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:25:17 UTC;0,00;0,00;0,00;100,00;59,41;6,93;32,67;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;2916,00;1829,00;34196,00;10369360;15581352;5928032;36,37;338988;4955244;1720336;9,35;1498900;4111604;712;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:25:18 UTC;0,00;0,00;4,04;95,96;46,00;4,00;49,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;14,00;86,00;0,00;2996,00;1347,00;16154,00;10368368;15581208;5929024;36,38;338996;4956176;1720336;9,35;1498904;4112448;1016;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:25:19 UTC;0,00;0,00;0,00;100,00;49,50;2,97;47,52;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3336,00;1432,00;16576,00;10368368;15581176;5929024;36,38;338996;4956116;1720336;9,35;1499120;4112416;1660;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:25:20 UTC;0,00;0,00;0,00;100,00;58,59;5,05;36,36;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;5820,00;2148,00;23505,00;10335012;15548072;5962380;36,58;338996;4956212;1749940;9,51;1498512;4112668;808;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:25:21 UTC;0,00;0,00;0,00;100,00;92,00;8,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;3768,00;48611,00;10335012;15548072;5962380;36,58;338996;4956256;1749940;9,51;1498512;4112668;808;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:25:22 UTC;0,00;0,00;0,00;100,00;94,00;6,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;5828,00;3296,00;41898,00;10368492;15580040;5928900;36,38;338996;4954796;1720680;9,35;1500080;4111156;1736;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:25:23 UTC;0,00;0,00;0,00;100,00;92,00;8,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8784,00;3203,00;45164,00;10357828;15570160;5939564;36,44;339004;4955532;1730592;9,41;1498708;4111940;868;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:25:24 UTC;0,00;0,00;0,00;100,00;90,00;10,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8732,00;3542,00;42547,00;10346296;15559468;5951096;36,52;339004;4956312;1739340;9,46;1498708;4112780;916;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;62,00
BrixPyxis;2019-08-02 14:25:25 UTC;0,00;0,00;0,00;100,00;91,00;9,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;6776,00;3547,00;42261,00;10357352;15569152;5940040;36,45;339004;4955020;1729084;9,40;1499884;4111408;940;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;62,00
BrixPyxis;2019-08-02 14:25:26 UTC;0,00;0,00;0,00;100,00;93,00;7,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;7788,00;3023,00;44776,00;10357332;15569720;5940060;36,45;339004;4955560;1730592;9,41;1499100;4111996;1232;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
