# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-08-02 14:27:29 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;3,00;5,00;10370128;15583512;5927264;36,37;339200;4956384;1719268;9,35;1498656;4112728;456;1800,00;1800,00;1800,00;1800,00;0,00;63,00;63,00;60,00
BrixPyxis;2019-08-02 14:27:30 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;88,00;1,00;6,00;10370128;15583512;5927264;36,37;339208;4956408;1719268;9,35;1498656;4112728;512;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:27:31 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;12,00;10370128;15583532;5927264;36,37;339208;4956432;1719268;9,35;1498664;4112748;536;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;60,00
BrixPyxis;2019-08-02 14:27:32 UTC;0,00;0,00;0,00;100,00;8,91;1,98;0,00;89,11;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;280,00;10116,00;10371864;15588992;5925528;36,36;339208;4953784;1720784;9,35;1498860;4110004;4356;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:27:33 UTC;0,00;0,00;0,00;100,00;92,86;7,14;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16180,00;727,00;27912,00;10364796;15588268;5932596;36,40;339208;4960072;1728648;9,40;1498872;4116316;10516;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:27:34 UTC;0,00;0,99;0,00;99,01;52,48;6,93;39,60;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;32352,00;603,00;22554,00;10365044;15588896;5932348;36,40;339208;4960124;1720096;9,35;1498960;4116472;620;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:27:35 UTC;0,00;0,00;3,03;96,97;40,59;2,97;55,45;0,99;0,00;0,00;0,00;100,00;0,00;0,00;45,00;55,00;0,00;16336,00;460,00;13968,00;10348080;15577936;5949312;36,50;339216;4966232;1730092;9,41;1498960;4122576;644;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:27:36 UTC;0,00;0,00;0,00;100,00;5,05;0,00;94,95;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;145,00;6873,00;10372980;15588936;5924412;36,35;339216;4952508;1720096;9,35;1498960;4108800;3004;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:27:37 UTC;0,00;0,00;0,00;100,00;34,00;2,00;64,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16176,00;272,00;9193,00;10361632;15588688;5935760;36,42;339216;4963268;1720096;9,35;1498964;4119604;692;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:27:38 UTC;0,00;0,00;0,00;100,00;38,78;3,06;58,16;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16176,00;332,00;13109,00;10363740;15588688;5933652;36,41;339216;4961248;1720096;9,35;1498964;4117560;720;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:27:39 UTC;0,00;0,00;0,00;100,00;36,00;0,00;64,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;92,00;48,00;2842,00;10360176;15588984;5937216;36,43;339216;4965336;1720096;9,35;1498964;4121448;15636;1800,00;1800,00;1800,00;1800,00;0,00;62,00;61,00;61,00
BrixPyxis;2019-08-02 14:27:40 UTC;0,00;0,00;3,00;97,00;7,00;2,00;90,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16224,00;385,00;12654,00;10374064;15589048;5923328;36,35;339224;4951576;1720096;9,35;1498968;4107740;1820;1800,00;1800,00;1800,00;1800,00;0,00;62,00;61,00;61,00
BrixPyxis;2019-08-02 14:27:41 UTC;0,00;0,00;0,00;100,00;35,35;3,03;61,62;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16268,00;335,00;13553,00;10367864;15588740;5929528;36,38;339224;4957224;1720096;9,35;1498964;4113592;676;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:27:42 UTC;0,00;0,00;0,00;100,00;56,00;2,00;41,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16176,00;389,00;14391,00;10368268;15589132;5929124;36,38;339224;4957620;1720096;9,35;1498968;4113704;8000;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:27:43 UTC;0,00;0,00;0,00;100,00;90,91;5,05;4,04;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;32352,00;661,00;25144,00;10363184;15588948;5934208;36,41;339224;4962316;1720096;9,35;1498968;4118604;12696;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;62,00
BrixPyxis;2019-08-02 14:27:44 UTC;0,00;0,00;0,00;100,00;87,00;8,00;3,00;2,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;48528,00;930,00;36678,00;10370872;15588724;5926520;36,36;339224;4954228;1720096;9,35;1498968;4110568;752;1800,00;1800,00;1800,00;1800,00;0,00;63,00;61,00;62,00
BrixPyxis;2019-08-02 14:27:45 UTC;0,00;0,00;3,03;96,97;76,53;2,04;21,43;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16232,00;385,00;13609,00;10359836;15589048;5937556;36,43;339232;4965580;1720096;9,35;1498992;4121840;15960;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:27:46 UTC;0,00;0,00;0,00;100,00;82,18;11,88;4,95;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;48528,00;986,00;37706,00;10372360;15589052;5925032;36,36;339232;4953116;1720096;9,35;1498996;4109332;3448;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:27:47 UTC;0,00;0,00;0,00;100,00;87,00;8,00;4,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;32352,00;659,00;25140,00;10367524;15588936;5929868;36,39;339232;4958036;1720096;9,35;1498992;4114236;8436;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:27:48 UTC;0,00;0,00;0,00;100,00;22,00;2,00;76,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16176,00;269,00;8941,00;10360456;15588816;5936936;36,43;339232;4964564;1720096;9,35;1498996;4120900;868;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:27:49 UTC;0,00;0,00;0,00;100,00;0,00;0,00;100,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;308,00;0,00;1044,00;10364324;15588676;5933068;36,41;339232;4960580;1720096;9,35;1498996;4116892;600;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:27:50 UTC;0,00;0,00;0,00;100,00;0,00;0,00;100,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;798,00;10367656;15588760;5929736;36,38;339232;4957448;1720096;9,35;1498996;4113804;612;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:27:51 UTC;0,00;0,00;0,00;100,00;0,00;1,00;99,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;90,00;10,00;0,00;52,00;0,00;1027,00;10371600;15588672;5925792;36,36;339236;4953464;1720096;9,35;1498996;4109772;636;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:27:52 UTC;0,00;0,00;13,13;86,87;20,00;1,00;79,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;86,00;14,00;0,00;4,00;105,00;880,00;10365552;15588420;5931840;36,40;339240;4959588;1720096;9,35;1499004;4115684;9712;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:27:53 UTC;0,00;0,00;2,00;98,00;17,82;2,97;78,22;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16268,00;346,00;11741,00;10360220;15588720;5937172;36,43;339240;4964688;1720096;9,35;1499004;4121024;700;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:27:54 UTC;0,00;0,00;0,00;100,00;0,00;0,00;100,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;1043,00;10364352;15588756;5933040;36,40;339240;4960704;1720096;9,35;1499004;4116992;724;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-08-02 14:27:55 UTC;0,00;0,00;0,00;100,00;70,71;5,05;24,24;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16176,00;385,00;15177,00;10360904;15588952;5936488;36,43;339240;4964660;1720096;9,35;1498996;4120660;14768;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:27:56 UTC;0,00;0,00;0,00;100,00;83,17;10,89;4,95;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;48664,00;1201,00;43380,00;10374264;15588648;5923128;36,34;339248;4950960;1720096;9,35;1499004;4107188;1092;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:27:57 UTC;0,00;0,00;0,00;100,00;89,00;8,00;2,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;32352,00;654,00;25140,00;10368096;15588752;5929296;36,38;339248;4957408;1720096;9,35;1499008;4113460;7540;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
BrixPyxis;2019-08-02 14:27:58 UTC;0,00;0,00;0,00;100,00;89,00;7,00;3,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;32352,00;658,00;25148,00;10362888;15588640;5934504;36,41;339248;4962396;1720096;9,35;1499008;4118556;12528;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;62,00
