# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-07-31 15:48:40 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;3,00;5,00;15199280;15760912;1098112;6,74;71772;672200;1452080;7,89;437272;487800;332;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:48:41 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;2,00;5,00;15199280;15760912;1098112;6,74;71772;672200;1452080;7,89;437272;487800;332;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:48:42 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;5,00;15199156;15760824;1098236;6,74;71772;672248;1452080;7,89;437272;487856;380;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:48:43 UTC;0,00;0,99;0,00;99,01;6,00;4,00;0,00;90,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;602,00;21731,00;15196980;15758660;1100412;6,75;71772;672248;1457204;7,92;438056;487848;380;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:48:44 UTC;0,00;0,00;5,05;94,95;92,93;7,07;0,00;0,00;0,00;0,00;0,00;100,00;0,00;1,02;0,00;98,98;0,00;88,00;1478,00;23961,00;15186952;15758728;1110440;6,81;71780;682348;1456860;7,92;438252;497844;10612;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:48:45 UTC;0,00;0,00;0,00;100,00;91,09;8,91;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;36056,00;1741,00;50580,00;15196748;15759272;1100644;6,75;71780;673096;1456860;7,92;437928;488612;500;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 15:48:46 UTC;0,00;0,00;0,00;100,00;91,00;9,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;19668,00;1449,00;27281,00;15188260;15760068;1109132;6,81;71780;682292;1457204;7,92;437732;497880;8376;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 15:48:47 UTC;0,00;0,00;0,00;100,00;92,00;8,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;4,00;18336,00;1715,00;42667,00;15179964;15758532;1117428;6,86;71784;689092;1457204;7,92;438124;504544;16576;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:48:48 UTC;0,00;1,02;0,00;98,98;91,00;9,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;36072,00;1981,00;50522,00;15192840;15759412;1104552;6,78;71784;677196;1456172;7,92;437928;492644;4628;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:48:49 UTC;0,00;0,00;0,00;100,00;92,93;7,07;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;18080,00;1315,00;23903,00;15183060;15759136;1114332;6,84;71792;686536;1455484;7,91;438124;502052;14000;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
