# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-07-31 16:07:59 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;55,00;5,00;15157104;15759444;1140288;7,00;74064;709780;1456056;7,92;477240;488172;360;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:08:00 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;7,00;13,00;15156856;15759224;1140536;7,00;74064;709812;1456056;7,92;477300;488200;384;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:08:01 UTC;1,00;0,00;0,00;99,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;18,00;8,00;15156608;15759000;1140784;7,00;74064;709860;1456056;7,92;477304;488252;432;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:08:02 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;5,00;15156608;15759000;1140784;7,00;74064;709848;1456056;7,92;477340;488240;432;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:08:03 UTC;0,00;0,00;0,00;100,00;7,07;3,03;0,00;89,90;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;120,00;679,00;22173,00;15154624;15757408;1142768;7,01;74072;710156;1460624;7,94;478124;488436;748;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:08:04 UTC;0,00;0,00;0,00;100,00;94,00;6,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;1002,00;24103,00;15140456;15757604;1156936;7,10;74072;724404;1460280;7,94;477928;502780;15140;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:08:05 UTC;0,00;0,00;0,00;100,00;90,00;10,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;36128,00;2142,00;54413,00;15153724;15757248;1143668;7,02;74072;710924;1459592;7,93;477928;489256;1124;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:08:06 UTC;0,00;0,00;0,00;100,00;93,00;7,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;1,00;0,00;99,00;0,00;18336,00;1092,00;24228,00;15140192;15757216;1157200;7,10;74072;724476;1459248;7,93;477936;502664;14200;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 16:08:07 UTC;0,00;0,00;0,00;100,00;28,57;6,12;65,31;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;18344,00;1398,00;32812,00;15138292;15757364;1159100;7,11;74072;726260;1458560;7,93;478112;504676;476;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 16:08:08 UTC;0,00;0,00;0,00;100,00;0,00;0,00;100,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;1048,00;15142500;15757444;1154892;7,09;74072;722188;1458560;7,93;478112;500588;500;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
