# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-07-31 15:51:49 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;20,00;56,00;16,00;15195608;15760936;1101784;6,76;72240;675164;1450608;7,89;438180;490444;288;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:51:50 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;6,00;13,00;15195608;15760936;1101784;6,76;72240;675196;1450608;7,89;438180;490444;312;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:51:51 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;18,00;8,00;15195608;15760940;1101784;6,76;72240;675208;1450608;7,89;438200;490464;336;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:51:52 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;5,00;15195484;15760840;1101908;6,76;72240;675232;1450608;7,89;438200;490488;360;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:51:53 UTC;0,00;1,00;4,00;95,00;7,00;4,00;0,00;89,00;0,00;0,00;0,00;100,00;1,00;0,00;0,00;99,00;592,00;124,00;934,00;24629,00;15193492;15760220;1103900;6,77;72248;676516;1452540;7,90;438396;491664;972;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:51:54 UTC;0,00;1,03;0,00;98,97;77,78;18,18;4,04;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;1816,00;8840,00;9755,00;117639,00;15189528;15759480;1107864;6,80;72252;679900;1460748;7,94;441032;492824;2240;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:51:55 UTC;0,00;0,00;0,00;100,00;71,72;14,14;13,13;1,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12256,00;9429,00;72535,00;15184580;15754768;1112812;6,83;72252;680024;1452724;7,90;446280;493076;1972;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:51:56 UTC;0,00;0,00;0,00;100,00;77,23;15,84;6,93;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;13472,00;10270,00;84363,00;15179524;15748120;1117868;6,86;72252;678364;1474652;8,02;440828;491508;536;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:51:57 UTC;0,00;0,00;0,00;100,00;86,00;13,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12240,00;11410,00;85781,00;15191264;15759944;1106128;6,79;72252;678556;1454100;7,91;440836;491592;560;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;61,00
BrixPyxis;2019-07-31 15:51:58 UTC;0,00;0,00;0,00;100,00;85,00;15,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12612,00;11426,00;79006,00;15190920;15759616;1106472;6,79;72260;678468;1453756;7,90;441032;491592;620;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:51:59 UTC;0,00;0,00;0,00;100,00;83,00;16,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;11932,00;11530,00;81579,00;15189432;15758184;1107960;6,80;72260;678608;1454100;7,91;442016;491644;936;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:52:00 UTC;0,00;1,04;0,00;98,96;84,16;14,85;0,00;0,99;1,04;0,00;0,00;98,96;0,00;0,00;0,00;100,00;0,00;12548,00;11314,00;79325,00;15190408;15759176;1106984;6,79;72260;677648;1453756;7,90;442224;490512;960;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:52:01 UTC;0,00;0,00;0,00;100,00;87,76;12,24;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;11932,00;11562,00;81610,00;15189232;15758196;1108160;6,80;72260;677612;1454100;7,91;443400;490532;1276;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:52:02 UTC;0,00;0,00;0,00;100,00;86,14;12,87;0,00;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12548,00;11289,00;78954,00;15189480;15758696;1107912;6,80;72260;677812;1453756;7,90;443204;490784;1300;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:52:03 UTC;0,00;0,00;1,04;98,96;87,88;11,11;0,00;1,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;11988,00;11532,00;81586,00;15188148;15757544;1109244;6,81;72268;677944;1454100;7,91;444380;490980;1616;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:52:04 UTC;0,00;0,00;0,00;100,00;84,00;16,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12548,00;11334,00;78960,00;15188148;15757600;1109244;6,81;72268;678156;1453756;7,90;444380;491036;1648;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:52:05 UTC;0,00;1,03;0,00;98,97;82,18;16,83;0,00;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;11932,00;11546,00;81579,00;15186504;15756168;1110888;6,82;72268;678296;1454100;7,91;445556;491232;1964;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:52:06 UTC;0,00;0,00;0,00;100,00;87,88;12,12;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12548,00;11324,00;78947,00;15186240;15756164;1111152;6,82;72268;678496;1453756;7,90;445556;491484;1988;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:52:07 UTC;0,00;0,00;0,00;100,00;83,17;15,84;0,00;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;11932,00;11540,00;81592,00;15184876;15754996;1112516;6,83;72268;678636;1454100;7,91;446536;491680;2304;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:52:08 UTC;0,00;0,00;0,00;100,00;83,17;15,84;0,00;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12600,00;11312,00;78952,00;15185124;15755244;1112268;6,82;72276;678836;1453756;7,90;446536;491680;2328;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:52:09 UTC;0,00;0,00;0,00;100,00;84,00;16,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;11932,00;11505,00;81576,00;15183620;15754000;1113772;6,83;72276;678976;1454100;7,91;447516;491932;2352;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 15:52:10 UTC;0,00;0,00;0,00;100,00;86,14;12,87;0,00;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12548,00;11304,00;78950,00;15183744;15754124;1113648;6,83;72276;678888;1453756;7,90;447516;491932;2672;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 15:52:11 UTC;0,00;0,00;0,00;100,00;86,00;13,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;11932,00;11445,00;83427,00;15189928;15760692;1107464;6,80;72276;679612;1454100;7,91;441048;492324;2988;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:52:12 UTC;0,00;0,00;0,00;100,00;87,88;12,12;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12548,00;11275,00;78968,00;15190348;15761088;1107044;6,79;72276;679520;1453756;7,90;440852;492324;3012;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:52:13 UTC;0,00;0,00;0,00;100,00;85,00;14,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;11984,00;11392,00;81773,00;15189852;15760648;1107540;6,80;72284;679260;1454100;7,91;441064;492364;3036;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:52:14 UTC;0,00;0,00;0,00;100,00;85,86;14,14;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;14688,00;11236,00;79032,00;15187404;15758396;1109988;6,81;72284;679600;1453756;7,90;440476;492560;1088;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 15:52:15 UTC;0,00;1,03;0,00;98,97;84,00;15,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12240,00;11401,00;81819,00;15190684;15761456;1106708;6,79;72284;679416;1454100;7,91;440672;492364;1412;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 15:52:16 UTC;0,00;0,00;0,00;100,00;84,16;14,85;0,00;0,99;0,00;1,04;0,00;98,96;0,00;0,00;0,00;100,00;0,00;12240,00;11360,00;88106,00;15169152;15738216;1128240;6,92;72284;677692;1474308;8,01;440680;490648;1144;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;61,00
BrixPyxis;2019-07-31 15:52:17 UTC;0,00;0,00;0,00;100,00;85,86;14,14;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12548,00;11522,00;84955,00;15192444;15761564;1104948;6,78;72284;677600;1453756;7,90;440876;490704;1172;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;61,00
BrixPyxis;2019-07-31 15:52:18 UTC;0,00;1,05;0,00;98,95;85,15;13,86;0,00;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12300,00;11395,00;78658,00;15179516;15748832;1117876;6,86;72292;677992;1464204;7,96;441464;490900;1196;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;61,00
BrixPyxis;2019-07-31 15:52:19 UTC;0,00;0,00;0,00;100,00;83,17;15,84;0,00;0,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12240,00;11489,00;84843,00;15191544;15760664;1105848;6,79;72292;677764;1454100;7,91;441660;490704;1232;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;61,00
BrixPyxis;2019-07-31 15:52:20 UTC;0,00;1,04;0,00;98,96;88,89;11,11;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;13656,00;11344,00;78959,00;15191568;15760784;1105824;6,79;72292;677672;1453756;7,90;441668;490792;444;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:52:21 UTC;0,00;0,00;0,00;100,00;83,17;15,84;0,00;0,99;0,00;0,00;0,00;100,00;0,00;0,99;0,00;99,01;0,00;11932,00;11555,00;81583,00;15190080;15759492;1107312;6,79;72292;678108;1454100;7,91;442844;490988;592;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:52:22 UTC;0,00;0,00;0,00;100,00;86,87;13,13;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12548,00;11309,00;78956,00;15190204;15759672;1107188;6,79;72292;678016;1453756;7,90;442844;491044;616;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:52:23 UTC;0,00;0,00;1,04;98,96;85,86;13,13;0,00;1,01;0,00;0,00;0,00;100,00;0,00;1,00;0,00;99,00;0,00;12024,00;11556,00;81588,00;15188716;15758384;1108676;6,80;72300;678448;1454100;7,91;444020;491240;956;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:52:24 UTC;0,00;0,00;0,00;100,00;85,86;14,14;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12864,00;10973,00;87722,00;15190400;15761496;1106992;6,79;72300;679748;1453068;7,90;441068;492668;688;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
