# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-07-31 16:11:36 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;55,00;5,00;15152476;15760484;1144916;7,03;74436;714972;1461544;7,95;477724;493348;332;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:11:37 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;6,00;13,00;15152476;15760484;1144916;7,03;74436;715004;1461544;7,95;477724;493348;356;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:11:38 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;18,00;35,00;15152476;15760484;1144916;7,03;74436;715004;1461544;7,95;477724;493348;356;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:11:39 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;5,00;15152228;15760208;1145164;7,03;74436;715040;1461544;7,95;477724;493368;404;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;58,00
BrixPyxis;2019-07-31 16:11:40 UTC;0,00;0,00;3,06;96,94;7,92;2,97;0,00;89,11;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;148,00;1297,00;15312,00;15147144;15756104;1150248;7,06;74444;715908;1464324;7,96;481056;494152;1280;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:11:41 UTC;0,00;0,00;0,00;100,00;76,53;12,24;11,22;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8892,00;10098,00;79736,00;15145200;15755208;1152192;7,07;74444;717112;1463636;7,96;482076;495380;1468;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:11:42 UTC;0,00;0,00;0,00;100,00;67,68;14,14;17,17;1,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;12256,00;8926,00;77229,00;15148804;15758616;1148588;7,05;74444;716848;1463636;7,96;478352;495184;616;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:11:43 UTC;0,00;0,00;0,00;100,00;72,73;11,11;16,16;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;11212,00;9241,00;58821,00;15148152;15758944;1149240;7,05;74444;717936;1471660;8,00;478352;496164;932;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:11:44 UTC;0,00;0,00;0,00;100,00;66,67;13,13;20,20;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;10236,00;8990,00;75365,00;15145712;15755580;1151680;7,07;74444;716892;1463636;7,96;481700;495232;1540;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:11:45 UTC;0,00;0,00;8,42;91,58;66,67;12,12;20,20;1,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;11272,00;8660,00;64643,00;15147572;15758336;1149820;7,06;74448;717832;1471660;8,00;478480;496128;1008;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
