# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-07-31 15:59:57 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;55,00;5,00;15176680;15760140;1120712;6,88;73188;692112;1451964;7,89;445312;501608;388;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:59:58 UTC;0,00;1,00;0,00;99,00;0,00;0,00;0,00;100,00;1,00;0,00;0,00;99,00;0,00;1,00;0,00;99,00;0,00;0,00;5,00;16,00;15176680;15760140;1120712;6,88;73188;692136;1451964;7,89;445312;501608;412;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:59:59 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;19,00;5,00;15176680;15760164;1120712;6,88;73188;692156;1451964;7,89;445312;501628;436;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:00:00 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;124,00;0,00;5,00;15176680;15760164;1120712;6,88;73196;692180;1451964;7,89;445312;501628;512;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;59,00
BrixPyxis;2019-07-31 16:00:01 UTC;0,00;0,00;0,00;100,00;7,07;3,03;0,00;89,90;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;152,00;0,00;636,00;25205,00;15173828;15757368;1123564;6,89;73196;692208;1461812;7,95;446100;501680;540;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:00:02 UTC;0,00;1,05;0,00;98,95;86,00;14,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;5832,00;3180,00;4945,00;62216,00;15105008;15696584;1192384;7,32;73208;700480;1512704;8,22;448452;506972;1156;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:00:03 UTC;0,00;0,00;0,00;100,00;86,00;14,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;224,00;5792,00;6229,00;91970,00;15165104;15758052;1132288;6,95;73208;701544;1461468;7,95;451784;505600;1180;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:00:04 UTC;0,00;0,00;0,00;100,00;84,00;16,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;9684,00;6304,00;96271,00;15164652;15757264;1132740;6,95;73208;701328;1460436;7,94;451392;505264;632;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;61,00
BrixPyxis;2019-07-31 16:00:05 UTC;0,00;0,00;0,00;100,00;84,00;16,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;7784,00;6040,00;98408,00;15163216;15755828;1134176;6,96;73208;701412;1460436;7,94;451980;505264;656;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;61,00
BrixPyxis;2019-07-31 16:00:06 UTC;0,00;0,00;0,00;100,00;88,00;12,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;7544,00;5678,00;73321,00;15163444;15756504;1133948;6,96;73216;701596;1460436;7,94;451392;505712;980;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
