# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-07-31 16:18:49 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;58,00;13,00;15079260;15699068;1218132;7,47;75444;744196;1585400;8,62;637216;404128;396;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;59,00
BrixPyxis;2019-07-31 16:18:50 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;6,00;325,00;15080004;15699820;1217388;7,47;75444;742940;1585400;8,62;637216;402908;420;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;59,00
BrixPyxis;2019-07-31 16:18:51 UTC;8,00;1,00;0,00;91,00;0,99;0,99;0,00;98,02;12,00;9,00;1,00;78,00;4,00;4,00;0,00;92,00;0,00;0,00;4749,00;20786,00;15015300;15635116;1282092;7,87;75444;805268;1649048;8,96;638588;465236;420;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;59,00
BrixPyxis;2019-07-31 16:18:52 UTC;17,17;3,03;0,00;79,80;6,12;3,06;0,00;90,82;4,12;2,06;0,00;93,81;30,10;7,77;1,94;60,19;0,00;124,00;549,00;31351,00;15014400;15634256;1282992;7,87;75452;805244;1649048;8,96;638676;465200;532;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-07-31 16:18:53 UTC;0,00;1,00;0,00;99,00;6,12;4,08;0,00;89,80;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;1214,00;31807,00;15029888;15649976;1267504;7,78;75452;788100;1639656;8,91;639664;447960;852;1800,00;1800,00;1800,00;1800,00;0,00;63,00;62,00;61,00
BrixPyxis;2019-07-31 16:18:54 UTC;0,00;0,00;0,00;100,00;85,00;15,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;1,02;0,00;98,98;0,00;4768,00;5405,00;89690,00;15007308;15630660;1290084;7,92;75452;758064;1666088;9,06;638880;417960;584;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 16:18:55 UTC;1,06;0,00;0,00;98,94;85,00;14,00;0,00;1,00;1,05;0,00;0,00;98,95;2,04;0,00;0,00;97,96;0,00;7468,00;5921,00;87512,00;15062552;15685348;1234840;7,58;75452;757084;1604408;8,72;639280;417016;612;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;61,00
BrixPyxis;2019-07-31 16:18:56 UTC;0,00;0,00;0,00;100,00;84,00;16,00;0,00;0,00;1,04;0,00;0,00;98,96;0,00;0,00;0,00;100,00;0,00;8008,00;6411,00;96340,00;15063428;15686224;1233964;7,57;75452;755828;1604408;8,72;639280;415768;636;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;61,00
BrixPyxis;2019-07-31 16:18:57 UTC;1,08;0,00;0,00;98,92;83,00;17,00;0,00;0,00;1,05;0,00;0,00;98,95;0,00;0,00;0,00;100,00;0,00;7856,00;5909,00;95413,00;15075420;15698668;1221972;7,50;75460;743032;1593740;8,66;639284;403140;668;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:18:58 UTC;0,00;0,00;0,00;100,00;85,00;15,00;0,00;0,00;1,05;0,00;0,00;98,95;0,00;0,00;0,00;100,00;0,00;7468,00;5852,00;76349,00;15070708;15693988;1226684;7,53;75460;748280;1595116;8,67;639876;408232;696;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;61,00
