# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-07-31 15:45:00 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;4,00;13,00;15202200;15753080;1095192;6,72;71368;661804;1505276;8,18;438836;483204;820;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:45:01 UTC;1,01;0,00;0,00;98,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;4,00;0,00;756,00;517,00;15201652;15752544;1095740;6,72;71368;661828;1505276;8,18;438880;483216;844;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;59,00
BrixPyxis;2019-07-31 15:45:02 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;6,00;15201580;15752512;1095812;6,72;71368;661864;1505276;8,18;439016;483132;952;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;59,00
BrixPyxis;2019-07-31 15:45:03 UTC;0,00;0,00;0,00;100,00;7,92;2,97;0,00;89,11;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;551,00;14831,00;15199100;15750620;1098292;6,74;71368;662276;1509908;8,21;439996;483524;1560;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:45:04 UTC;0,00;0,00;0,00;100,00;67,35;6,12;26,53;0,00;0,00;0,00;0,00;100,00;0,00;0,00;9,09;90,91;0,00;3032,00;2561,00;35072,00;15198232;15751212;1099160;6,74;71372;663868;1508532;8,20;440020;485120;1004;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 15:45:05 UTC;0,00;0,00;0,00;100,00;43,56;3,96;52,48;0,00;0,00;0,00;39,80;60,20;0,00;0,00;65,66;34,34;0,00;3864,00;1314,00;19388,00;15197364;15751332;1100028;6,75;71376;664844;1508532;8,20;439460;486124;1060;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;59,00
BrixPyxis;2019-07-31 15:45:06 UTC;0,00;0,00;0,00;100,00;35,71;3,06;61,22;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;2912,00;1269,00;16308,00;15197240;15751208;1100152;6,75;71376;664872;1508532;8,20;439460;486124;1168;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;59,00
BrixPyxis;2019-07-31 15:45:07 UTC;0,00;0,00;0,00;100,00;36,36;3,03;60,61;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;128,00;2912,00;1256,00;16576,00;15198184;15751312;1099208;6,74;71376;664044;1508532;8,20;439460;485280;1192;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:45:08 UTC;0,00;0,00;51,52;48,48;56,57;4,04;39,39;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;124,00;2920,00;1734,00;22507,00;15198568;15751024;1098824;6,74;71376;663364;1508532;8,20;440256;484604;1216;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:45:09 UTC;0,00;0,00;15,46;84,54;86,87;5,05;7,07;1,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;88,00;7844,00;3193,00;41966,00;15207788;15759436;1089604;6,69;71384;662536;1461344;7,94;432996;482404;1248;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
