# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-07-31 16:28:51 UTC;0,00;0,00;1,02;98,98;3,00;1,00;0,00;94,00;3,03;1,01;0,00;95,96;3,00;3,00;0,00;89,00;32,00;160,00;2151,00;308,00;15011772;15640248;1285620;7,89;77208;765292;1675060;9,11;717676;390484;1820;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:28:52 UTC;2,00;0,00;0,00;98,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;2,02;0,00;0,00;97,98;0,00;0,00;15,00;1586,00;15017104;15645604;1280288;7,86;77208;759660;1675060;9,11;717684;384848;1844;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:28:53 UTC;1,01;1,01;0,00;97,98;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;2,02;0,00;0,00;97,98;0,00;0,00;27,00;154,00;15017476;15646000;1279916;7,85;77208;759176;1675060;9,11;717684;384360;1872;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;59,00
BrixPyxis;2019-07-31 16:28:54 UTC;0,00;1,01;0,00;98,99;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;2,00;0,00;0,00;98,00;0,00;0,00;9,00;23,00;15017540;15646064;1279852;7,85;77208;759200;1675060;9,11;717684;384360;1896;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;59,00
BrixPyxis;2019-07-31 16:28:55 UTC;0,00;2,02;0,00;97,98;10,00;1,00;0,00;89,00;0,00;0,00;0,00;100,00;3,06;0,00;0,00;96,94;0,00;0,00;124,00;4006,00;15017984;15646560;1279408;7,85;77208;759020;1675820;9,11;717684;384180;1924;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:28:56 UTC;1,02;0,00;0,00;98,98;95,00;5,00;0,00;0,00;0,00;0,00;1,01;98,99;2,02;0,00;0,00;97,98;0,00;136,00;827,00;18144,00;15016920;15645528;1280472;7,86;77224;759044;1677748;9,12;718672;384228;1972;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:28:57 UTC;1,02;0,00;0,00;98,98;94,00;6,00;0,00;0,00;0,00;0,00;0,00;100,00;2,02;0,00;0,00;97,98;0,00;24,00;892,00;18209,00;15015876;15644484;1281516;7,86;77224;759068;1678920;9,13;719652;384228;1996;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:28:58 UTC;1,02;0,00;0,00;98,98;94,00;6,00;0,00;0,00;0,00;1,02;0,00;98,98;0,00;0,00;0,00;100,00;0,00;20,00;682,00;16398,00;15018408;15648228;1278984;7,85;77224;756596;1677748;9,12;719076;381768;3188;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:28:59 UTC;2,06;0,00;0,00;97,94;94,00;6,00;0,00;0,00;2,08;0,00;0,00;97,92;1,02;0,00;0,00;98,98;0,00;20,00;771,00;18908,00;15008560;15637204;1288832;7,91;77224;755540;1688540;9,18;718292;380592;2044;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 16:29:00 UTC;1,03;1,03;0,00;97,94;93,00;7,00;0,00;0,00;1,04;0,00;0,00;98,96;0,00;0,00;0,00;100,00;0,00;24,00;952,00;18202,00;15007372;15636016;1290020;7,92;77224;755568;1689712;9,19;719664;380592;2072;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
