# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-07-31 16:03:33 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;57,00;5,00;15160188;15756788;1137204;6,98;73640;707696;1461236;7,94;476804;486080;872;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;59,00
BrixPyxis;2019-07-31 16:03:34 UTC;0,00;0,00;0,00;100,00;0,99;0,00;0,00;99,01;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;11,00;771,00;15163040;15759640;1134352;6,96;73640;704720;1461236;7,94;476836;483100;900;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;59,00
BrixPyxis;2019-07-31 16:03:35 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;19,00;8,00;15162988;15759588;1134404;6,96;73640;704744;1461236;7,94;476836;483100;924;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;59,00
BrixPyxis;2019-07-31 16:03:36 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;8,00;15163040;15759708;1134352;6,96;73640;704756;1461236;7,94;476836;483164;948;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;59,00
BrixPyxis;2019-07-31 16:03:37 UTC;0,00;0,00;0,00;100,00;8,00;2,00;0,00;90,00;0,00;0,00;0,00;100,00;1,00;0,00;0,00;99,00;0,00;176,00;548,00;15189,00;15161180;15758240;1136212;6,97;73648;705164;1463088;7,95;477816;483360;1560;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;59,00
BrixPyxis;2019-07-31 16:03:38 UTC;0,00;0,00;0,00;100,00;93,00;6,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;3452,00;2605,00;33554,00;15161244;15759296;1136148;6,97;73648;705976;1463088;7,95;477456;484348;1960;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:03:39 UTC;0,00;0,00;0,00;100,00;89,00;10,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;3710,00;49838,00;15161236;15758928;1136156;6,97;73648;705708;1463088;7,95;477456;483988;1448;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:03:40 UTC;0,00;0,00;0,00;100,00;93,00;6,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;5824,00;3179,00;33679,00;15159592;15758124;1137800;6,98;73648;706316;1463088;7,95;478632;484828;2348;1800,00;1800,00;1800,00;1800,00;0,00;62,00;61,00;60,00
BrixPyxis;2019-07-31 16:03:41 UTC;0,00;0,00;0,00;100,00;88,00;11,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;3102,00;49503,00;15161236;15758984;1136156;6,97;73648;705756;1463088;7,95;477456;484044;1496;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 16:03:42 UTC;0,00;0,00;0,00;100,00;88,00;11,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8804,00;3603,00;49728,00;15161864;15758860;1135528;6,97;73656;704908;1463088;7,95;477264;483312;664;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 16:03:43 UTC;0,00;0,00;0,00;100,00;92,00;7,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;5824,00;3339,00;34161,00;15159104;15758704;1138288;6,98;73656;707560;1463088;7,95;477460;485916;3608;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 16:03:44 UTC;0,00;0,00;0,00;100,00;91,00;8,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;9160,00;3098,00;49162,00;15161684;15759128;1135708;6,97;73656;705248;1462400;7,95;477656;483760;712;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 16:03:45 UTC;0,00;0,00;0,00;100,00;91,00;8,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;5400,00;3181,00;34036,00;15159104;15758760;1138288;6,98;73656;707608;1463088;7,95;477460;485972;3656;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;59,00
BrixPyxis;2019-07-31 16:03:46 UTC;0,00;0,00;0,00;100,00;87,00;12,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;3100,00;49075,00;15160252;15758144;1137140;6,98;73656;705880;1463088;7,95;477852;484208;1928;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;59,00
BrixPyxis;2019-07-31 16:03:47 UTC;0,00;0,00;0,00;100,00;91,92;8,08;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;5824,00;3173,00;34119,00;15159104;15758760;1138288;6,98;73656;707656;1463088;7,95;477460;485972;3704;1800,00;1800,00;1800,00;1800,00;0,00;62,00;61,00;61,00
BrixPyxis;2019-07-31 16:03:48 UTC;0,00;0,00;0,00;100,00;89,00;10,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8788,00;3682,00;49678,00;15159756;15758880;1137636;6,98;73664;707100;1463088;7,95;477856;485436;3148;1800,00;1800,00;1800,00;1800,00;0,00;62,00;61,00;61,00
BrixPyxis;2019-07-31 16:03:49 UTC;0,00;0,00;0,00;100,00;89,11;8,91;0,00;1,98;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;8736,00;2594,00;33755,00;15148472;15748380;1148920;7,05;73664;707824;1471124;8,00;476876;486220;836;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 16:03:50 UTC;0,00;0,00;0,00;100,00;90,91;9,09;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;5824,00;3748,00;49676,00;15159384;15759096;1138008;6,98;73664;707708;1463088;7,95;477464;486024;3756;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
