# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-07-31 15:58:10 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;3,00;5,00;15180928;15761600;1116464;6,85;73004;689544;1453052;7,90;445040;499040;304;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:58:11 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;1,00;5,00;15180928;15761624;1116464;6,85;73004;689568;1453052;7,90;445072;499064;328;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:58:12 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;5,00;15180804;15761500;1116588;6,85;73004;689592;1453052;7,90;445072;499064;352;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 15:58:13 UTC;0,00;0,00;0,00;100,00;8,08;2,02;0,00;89,90;0,00;0,00;0,00;100,00;0,00;1,00;0,00;99,00;0,00;0,00;430,00;11751,00;15176092;15759948;1121300;6,88;73004;692804;1454604;7,91;445472;502224;3564;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;61,00
BrixPyxis;2019-07-31 15:58:14 UTC;0,00;0,00;3,00;97,00;94,06;4,95;0,99;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;112,00;467,00;13061,00;15152904;15749228;1144488;7,02;73012;705116;1462944;7,95;445464;514640;15904;1800,00;1800,00;1800,00;1800,00;0,00;62,00;61,00;60,00
BrixPyxis;2019-07-31 15:58:15 UTC;0,00;0,00;0,00;100,00;39,18;4,12;56,70;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;17548,00;705,00;21898,00;15176092;15760300;1121300;6,88;73012;693016;1453572;7,90;445520;502552;2500;1800,00;1800,00;1800,00;1800,00;0,00;62,00;61,00;60,00
BrixPyxis;2019-07-31 15:58:16 UTC;0,00;0,00;0,00;100,00;62,00;6,00;32,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;17544,00;519,00;14709,00;15171696;15760072;1125696;6,91;73012;697128;1453572;7,90;445516;506652;480;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;59,00
BrixPyxis;2019-07-31 15:58:17 UTC;0,00;0,00;0,00;100,00;60,61;3,03;36,36;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;16412,00;234,00;2225,00;15162916;15760308;1134476;6,96;73012;706132;1453572;7,90;445320;515668;480;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;59,00
BrixPyxis;2019-07-31 15:58:18 UTC;0,00;0,00;0,00;100,00;31,63;3,06;65,31;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;1132,00;370,00;15527,00;15168188;15760432;1129204;6,93;73012;701264;1453572;7,90;445516;510596;10456;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
BrixPyxis;2019-07-31 15:58:19 UTC;0,99;0,00;0,00;99,01;45,45;3,03;51,52;0,00;0,00;1,01;0,00;98,99;0,00;0,00;0,00;100,00;0,00;17544,00;507,00;15751,00;15175876;15760028;1121516;6,88;73012;692976;1453572;7,90;445520;502504;556;1800,00;1800,00;1800,00;1800,00;0,00;61,00;61,00;60,00
