# hostname;timestamp;CPU0%user;CPU0%system;CPU0%iowait;CPU0%idle;CPU1%user;CPU1%system;CPU1%iowait;CPU1%idle;CPU2%user;CPU2%system;CPU2%iowait;CPU2%idle;CPU3%user;CPU3%system;CPU3%iowait;CPU3%idle; pgpgin-s;pgpgout-s;fault-s;pgfree-s;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;CPU0MHz;CPU1MHz;CPU2MHz;CPU3MHz;CPU0degC;CPU1degC;CPU2degC;CPU3degC
BrixPyxis;2019-07-31 16:17:01 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;3,00;5,00;15143684;15760148;1153708;7,08;75004;722952;1454576;7,91;478396;501252;308;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:17:02 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;1,00;0,00;99,00;4,00;0,00;569,00;385,00;15143188;15759704;1154204;7,08;75008;722976;1454576;7,91;478440;501308;404;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;59,00
BrixPyxis;2019-07-31 16:17:03 UTC;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;5,00;15143188;15759704;1154204;7,08;75008;723000;1454576;7,91;478440;501308;428;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;59,00
BrixPyxis;2019-07-31 16:17:04 UTC;0,00;0,00;0,00;100,00;9,00;2,00;0,00;89,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;0,00;397,00;11785,00;15139096;15759140;1158296;7,11;75008;726332;1455780;7,91;478832;504640;3956;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:17:05 UTC;0,00;0,00;0,00;100,00;95,96;4,04;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;204,00;490,00;13162,00;15127068;15759716;1170324;7,18;75016;739000;1455436;7,91;478744;517296;16444;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:17:06 UTC;0,00;0,00;0,00;100,00;92,00;8,00;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;33720,00;1084,00;34641,00;15129244;15748008;1168148;7,17;75016;725184;1464180;7,96;478744;503436;736;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:17:07 UTC;0,00;0,00;0,00;100,00;93,14;5,88;0,00;0,98;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;17784,00;724,00;19709,00;15132028;15759184;1165364;7,15;75016;733900;1455092;7,91;478832;511844;11076;1800,00;1800,00;1800,00;1800,00;0,00;61,00;59,00;60,00
BrixPyxis;2019-07-31 16:17:08 UTC;0,00;0,00;0,00;100,00;93,94;6,06;0,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;34852,00;1125,00;33975,00;15137068;15759028;1160324;7,12;75016;728312;1454748;7,91;478832;506552;588;1800,00;1800,00;1800,00;1800,00;0,00;61,00;59,00;60,00
BrixPyxis;2019-07-31 16:17:09 UTC;2,06;1,03;0,00;96,91;95,00;5,00;0,00;0,00;1,02;1,02;0,00;97,96;0,00;1,04;0,00;98,96;0,00;17780,00;669,00;18057,00;15139952;15760084;1157440;7,10;75016;725456;1454748;7,91;478920;503636;4092;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;60,00
BrixPyxis;2019-07-31 16:17:10 UTC;0,00;0,00;0,00;100,00;94,00;5,00;0,00;1,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;4,00;17460,00;638,00;16171,00;15126356;15760508;1171036;7,19;75028;739404;1455436;7,91;478932;517696;16700;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:17:11 UTC;1,02;0,00;0,00;98,98;82,00;8,00;10,00;0,00;1,01;0,00;0,00;98,99;0,00;0,00;0,00;100,00;0,00;35088,00;1154,00;34172,00;15126604;15760048;1170788;7,18;75028;738584;1454748;7,91;478988;516872;668;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;60,00
BrixPyxis;2019-07-31 16:17:12 UTC;0,00;0,00;0,00;100,00;1,01;0,00;98,99;0,00;0,00;0,00;0,00;100,00;0,00;1,01;0,00;98,99;0,00;0,00;11,00;1342,00;15130200;15759588;1167192;7,16;75028;734664;1454748;7,91;478988;512952;692;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:17:13 UTC;0,00;0,00;0,00;100,00;0,00;0,00;100,00;0,00;0,00;1,01;0,00;98,99;0,00;0,00;0,00;100,00;0,00;0,00;20,00;784,00;15133288;15759644;1164104;7,14;75028;731468;1454748;7,91;478988;509740;780;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:17:14 UTC;0,00;1,01;0,00;98,99;0,00;1,01;98,99;0,00;1,02;0,00;0,00;98,98;3,00;0,00;0,00;97,00;0,00;0,00;18,00;1177,00;15136412;15758652;1160980;7,12;75028;728332;1454748;7,91;478988;506604;780;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;59,00
BrixPyxis;2019-07-31 16:17:15 UTC;0,00;0,00;0,00;100,00;0,00;0,00;100,00;0,00;1,00;0,00;0,00;99,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;806,00;15139624;15758696;1157768;7,10;75028;725304;1454748;7,91;478988;503600;828;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;59,00
BrixPyxis;2019-07-31 16:17:16 UTC;2,00;0,00;56,00;42,00;50,51;3,03;46,46;0,00;0,00;0,00;35,05;64,95;2,00;0,00;37,00;61,00;0,00;64,00;185,00;1324,00;15119420;15753592;1177972;7,23;75036;745272;1454748;7,91;479036;523580;16900;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;59,00
BrixPyxis;2019-07-31 16:17:17 UTC;0,00;0,00;0,00;100,00;16,00;4,00;80,00;0,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;100,00;0,00;17544,00;457,00;12748,00;15121892;15753436;1175500;7,21;75036;742612;1454748;7,91;478984;520896;892;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;58,00
BrixPyxis;2019-07-31 16:17:18 UTC;2,97;1,98;0,99;94,06;47,52;2,97;49,50;0,00;1,01;0,00;0,00;98,99;2,02;1,01;0,00;96,97;72,00;16528,00;202,00;5772,00;15120960;15755268;1176432;7,22;75108;743692;1454748;7,91;478992;521952;624;1800,00;1800,00;1800,00;1800,00;0,00;61,00;60,00;58,00
BrixPyxis;2019-07-31 16:17:19 UTC;4,04;0,00;0,00;95,96;95,00;5,00;0,00;0,00;0,00;0,00;0,00;100,00;1,01;1,01;0,00;97,98;0,00;17876,00;954,00;29467,00;15131192;15752300;1166200;7,16;75108;733448;1456124;7,92;479044;511532;4292;1800,00;1800,00;1800,00;1800,00;0,00;60,00;60,00;60,00
