Task ; ID ; Activations ; Primary exec time ; MIN ; AVG ; MAX ; Mode SW ; Context SW ; Sys Calls
RT_adpcmCaudio_L ; ADcL ; 1799 ; 6.30597 ; 0.003181 ; 0.111393 ; 192.22 ; 1858 ; 3664 ; 34087
RT_adpcmCaudio_S ; ADcS ; 1802 ; 6.62105 ; 0.00316 ; 0.011258 ; 12.0838 ; 1861 ; 3669 ; 8857
RT_adpcmDaudio_L ; ADdL ; 1801 ; 6.81 ; 0.003171 ; 0.057655 ; 95.419 ; 1860 ; 3667 ; 34095
RT_adpcmDaudio_S ; ADdS ; 1801 ; 7.1075 ; 0.003101 ; 0.007528 ; 5.02289 ; 1860 ; 3668 ; 8853
 ; BCL ;  ;  ;  ;  ;  ;  ;  ; 
 ; BCS ;  ;  ;  ;  ;  ;  ;  ; 
RT_blowfishD_L ; BLdL ; 592 ; 24.263 ; 298.288 ; 304.061 ; 332.724 ; 651 ; 1239 ; 3822
 ; BLdS ;  ;  ;  ;  ;  ;  ;  ; 
RT_blowfishE_L ; BLeL ; 593 ; 23.9117 ; 297.467 ; 303.669 ; 329.988 ; 652 ; 1244 ; 3826
 ; BLeS ;  ;  ;  ;  ;  ;  ;  ; 
 ; BML ;  ;  ;  ;  ;  ;  ;  ; 
 ; BMS ;  ;  ;  ;  ;  ;  ;  ; 
RT_CRC32_L ; CRL ; 295 ; 2.18765 ; 609.008 ; 610.804 ; 614.344 ; 354 ; 648 ; 1449
RT_CRC32_S ; CRS ; 1801 ; 7.97801 ; 30.0648 ; 30.8612 ; 31.7515 ; 1860 ; 3668 ; 7479
RT_dijkstra_L ; DJKL ; 1801 ; 7.37703 ; 27.6506 ; 28.6994 ; 54.3679 ; 1860 ; 3668 ; 7479
RT_dijkstra_S ; DJKS ; 1801 ; 7.74341 ; 6.09617 ; 6.35572 ; 45.1971 ; 1860 ; 3668 ; 7478
RT_fft_inv_L ; FFiL ; 1779 ; 11.9922 ; 67.9975 ; 71.5278 ; 1460.61 ; 1838 ; 3616 ; 7387
RT_fft_inv_S ; FFiS ; 1801 ; 15119.5 ; 8.13899 ; 8.398 ; 9.47195 ; 60 ; 1868 ; 5679
RT_fft_L ; FFL ; 1789 ; 11.5287 ; 66.5739 ; 68.9542 ; 562.398 ; 1848 ; 3639 ; 7426
RT_fft_S ; FFS ; 1801 ; 13776.8 ; 7.43025 ; 7.65173 ; 8.53228 ; 60 ; 1868 ; 5678
RT_gsmToast_L ; GStL ; 1231 ; 9.71463 ; 141.96 ; 146.204 ; 155.892 ; 1290 ; 2418 ; 5142
RT_gsmToast_S ; GStS ; 1801 ; 8.66269 ; 2.61613 ; 2.69347 ; 3.40241 ; 1860 ; 3668 ; 5678
RT_gsmUToast_L ; GSuL ; 1710 ; 12.2886 ; 100.568 ; 105.262 ; 475.95 ; 1769 ; 3367 ; 7008
RT_gsmUToast_S ; GSuS ; 1801 ; 8.36284 ; 1.83202 ; 1.92196 ; 26.3521 ; 1860 ; 3668 ; 5679
RT_cjpeg_L ; JPcL ; 1801 ; 13.5213 ; 14.6484 ; 15.1614 ; 16.4866 ; 1860 ; 3668 ; 7476
RT_cjpeg_S ; JPcS ; 1801 ; 13.8139 ; 4.5499 ; 4.69743 ; 5.60374 ; 1860 ; 3668 ; 7475
RT_djpeg_L ; JPdL ; 1801 ; 11.6324 ; 2.696 ; 2.78277 ; 2.90805 ; 1860 ; 3668 ; 5675
RT_djpeg_S ; JPdS ; 1801 ; 10.3856 ; 0.818373 ; 0.846445 ; 0.995039 ; 1860 ; 3668 ; 5675
RT_patricia_L ; PAL ; 1801 ; 13.3556 ; 32.4627 ; 33.5303 ; 64.1723 ; 1860 ; 3668 ; 7479
RT_patricia_S ; PAS ; 1802 ; 8.21444 ; 5.43133 ; 5.68001 ; 27.3603 ; 1861 ; 3669 ; 7482
 ; QSL ;  ;  ;  ;  ;  ;  ;  ; 
 ; QSS ;  ;  ;  ;  ;  ;  ;  ; 
RT_rijndaelD_L ; RJDL ; 1542 ; 8.85782 ; 33.3437 ; 59.97 ; 302.359 ; 1601 ; 3110 ; 6419
RT_rijndaelD_S ; RJDS ; 1801 ; 8.76334 ; 3.11097 ; 3.23992 ; 3.74293 ; 1860 ; 3667 ; 5675
RT_rijndaelE_L ; RJEL ; 1801 ; 10.4712 ; 37.6536 ; 38.2433 ; 46.4788 ; 1860 ; 3668 ; 7476
RT_rijndaelE_S ; RJES ; 1801 ; 8.46566 ; 3.53444 ; 3.67835 ; 4.32389 ; 1860 ; 3668 ; 5675
RT_sha_L ; SHL ; 1801 ; 7.77119 ; 21.8629 ; 22.5789 ; 26.5215 ; 1860 ; 3668 ; 7479
RT_sha_S ; SHS ; 1801 ; 8.04938 ; 2.10882 ; 2.18577 ; 3.36394 ; 1860 ; 3668 ; 5678
RT_stringsearch_L ; STRL ; 1801 ; 7.98569 ; 0.096495 ; 0.102665 ; 0.175775 ; 1860 ; 3667 ; 5678
RT_stringsearch_S ; STRS ; 1802 ; 9.86155 ; 2.21132 ; 2.29654 ; 2.35361 ; 1861 ; 3669 ; 5681
RT_susan_L_corners ; SUcL ; 1801 ; 8.81258 ; 2.99268 ; 3.10244 ; 3.8572 ; 1860 ; 3668 ; 5675
 ; SUcS ;  ;  ;  ;  ;  ;  ;  ; 
RT_susan_L_edges ; SUeL ; 1801 ; 10.4577 ; 6.84235 ; 7.05863 ; 11.4383 ; 1860 ; 3668 ; 7475
 ; SUeS ;  ;  ;  ;  ;  ;  ;  ; 
 ; SUsL ;  ;  ;  ;  ;  ;  ;  ; 
 ; SUsS ;  ;  ;  ;  ;  ;  ;  ; 
 ; TSL ;  ;  ;  ;  ;  ;  ;  ; 
 ; TSS ;  ;  ;  ;  ;  ;  ;  ; 
