name             chaineID   Path                        deadline
adpcmCaudio_S    11      ./tasksBench/adpcmCaudio_S.in     5000      ADc_S
adpcmCaudio_L    11      ./tasksBench/adpcmCaudio_L.in     5000      ADc_L
adpcmDaudio_S    11      ./tasksBench/adpcmDaudio_S.in     5000      ADd_S
adpcmDaudio_L    11      ./tasksBench/adpcmDaudio_L.in     5000      ADd_L
basicmath_S      1       ./tasksBench/basicmath_S.in       5000      BM_S
basicmath_L      1       ./tasksBench/basicmath_L.in       5000      BM_L
bitcount_S       1       ./tasksBench/bitcount_S.in        5000      BC_S
bitcount_L       1       ./tasksBench/bitcount_L.in        5000      BC_L
blowfishE_S      9       ./tasksBench/blowfishE_S.in       5000      BLe_S
blowfishD_S      9       ./tasksBench/blowfishD_S.in       5000      BLd_S
blowfishE_L      9       ./tasksBench/blowfishE_L.in       5000      BLe_L
blowfishD_L      9       ./tasksBench/blowfishD_L.in       5000      BLd_L
cjpeg_S          4       ./tasksBench/cjpeg_S.in           5000      JPc_S
cjpeg_L          4       ./tasksBench/cjpeg_L.in           5000      JPc_L
CRC32_S          12      ./tasksBench/CRC32_S.in           5000      CR_S
CRC32_L          12      ./tasksBench/CRC32_L.in           5000      CR_L
dijkstra_S       6       ./tasksBench/dijkstra_S.in        5000      DJK_S
dijkstra_L       6       ./tasksBench/dijkstra_L.in        5000      DJK_L
djpeg_S          4       ./tasksBench/djpeg_S.in           5000      JPd_S
djpeg_L          4       ./tasksBench/djpeg_L.in           5000      JPd_L
fft_S            13      ./tasksBench/fft_S.in             5000      FF_S
fft_L            13      ./tasksBench/fft_L.in             5000      FF_L
fft_inv_S        13      ./tasksBench/fft_inv_S.in         5000      FFi_S
fft_inv_L        13      ./tasksBench/fft_inv_L.in         5000      FFi_L
gsmToast_S       14      ./tasksBench/gsmToast_S.in        5000      GSt_S
gsmToast_L       14      ./tasksBench/gsmToast_L.in        5000      GSt_L
gsmUToast_S      14      ./tasksBench/gsmUToast_S.in       5000      GSu_S
gsmUToast_L      14      ./tasksBench/gsmUToast_L.in       5000      GSu_L
patricia_S       7       ./tasksBench/patricia_S.in        5000      PA_S
patricia_L       7       ./tasksBench/patricia_L.in        5000      PA_L
qsort_S          2       ./tasksBench/qsort_S.in           5000      QS_S
qsort_L          2       ./tasksBench/qsort_L.in           5000      QS_L
rijndaelE_S      15      ./tasksBench/rijndaelE_S.in       5000      Rje_S
rijndaelE_L      15      ./tasksBench/rijndaelE_L.in       5000      Rje_L
rijndaelD_S      15      ./tasksBench/rijndaelD_S.in       5000      Rjd_S
rijndaelD_L      15      ./tasksBench/rijndaelD_L.in       5000      Rjd_L
sha_S            10      ./tasksBench/sha_S.in             5000      SH_S
sha_L            10      ./tasksBench/sha_L.in             5000      SH_L
stringsearch_L   8       ./tasksBench/stringsearch_L.in    5000      STR_L
stringsearch_S   8       ./tasksBench/stringsearch_S.in    5000      STR_S
susan_S_smooth   3       ./tasksBench/susan_S_smooth.in    5000      SUs_S
susan_S_edges    3       ./tasksBench/susan_S_edges.in     5000      SUe_S
susan_S_corners  3       ./tasksBench/susan_S_corners.in   5000      SUc_S
susan_L_smooth   3       ./tasksBench/susan_L_smooth.in    5000      SUs_L
susan_L_edges    3       ./tasksBench/susan_L_edges.in     5000      SUe_L
susan_L_corners  3       ./tasksBench/susan_L_corners.in   5000      SUc_L
typeset_S        5       ./tasksBench/typeset_S.in         5000      TS_S
typeset_L        5       ./tasksBench/typeset_L.in         5000      TS_L
